#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
give_gold_sword_to_son;Grant Dornish Kiss;Donner Or ;;;Ceder Beso Dorniense;;;;;;;;;x
give_gold_sword_to_son_desc;I will pass on Dornish Kiss to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Or à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Beso Dorniense a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_happyness_to_son;Grant Father's Fury;Donner Joie;;;Ceder Furia del Padre;;;;;;;;;x
give_happyness_to_son_desc;I will pass on Father's Fury to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Joie à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Furia del Padre a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_hubris_to_son;Grant Talon;Donner Hubris;;;Ceder Orgullo Desmesurado;;;;;;;;;x
give_hubris_to_son_desc;I will pass on Talon to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Hubris à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Orgullo Desmesurado a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_justice_to_son;Grant Jade;Donner Justice;;;Ceder Jade;;;;;;;;;x
give_justice_to_son_desc;I will pass on Jade to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Justice à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Jade a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_kingmaker_to_son;Grant Kingmaker;Donner Faiseuse-de-Roi;;;Ceder Hacedora de Reyes;;;;;;;;;x
give_kingmaker_to_son_desc;I will pass on Kingmaker to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Faiseuse-de-Roi à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Hacedora de Reyes a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_passion_to_son;Grant Passion;Donner Passion;;;Ceder Pasión;;;;;;;;;x
give_passion_to_son_desc;I will pass on Passion to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Passion à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Pasión a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_rage_to_son;Grant Stranger's Touch;Donner Caresse de l'Etranger;;;Ceder Toque del Desconocido;;;;;;;;;x
give_rage_to_son_desc;I will pass on Stranger's Touch to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Caresse de l'Etranger à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Toque del Desconocido a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_sightblinder_to_son;Grant Mourning Mace;Donner Endeuillée;;;Ceder Maza del Luto;;;;;;;;;x
give_sightblinder_to_son_desc;I will pass on Mourning Mace to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Endeuillée à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Maza del Luto a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_the_monarchist_to_son;Grant Titan's Bite;Donner la Morsure du Titan;;;Ceder Mordisco del Titán;;;;;;;;;x
give_the_monarchist_to_son_desc;I will pass on Titan's Bite to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner la Morsure du Titan à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Mordisco del Titán a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_the_usurper_to_son;Grant Dragonbane;Donner Tue-Dragon;;;Ceder Venganza de Dragón;;;;;;;;;x
give_the_usurper_to_son_desc;I will pass on Dragonbane to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Tue-Dragon à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Venganza de Dragón a[Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_worldeater_to_son;Grant Finger Eater;Donner Mangedoigt;;;Ceder Comededos;;;;;;;;;x
give_worldeater_to_son_desc;I will pass on Finger Eater to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Mangedoigt à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Comededos a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_worlds_envy_to_son;Grant Rakh Arakh;Donner Rakh Arakh;;;Ceder Rakh Arakh;;;;;;;;;x
give_worlds_envy_to_son_desc;I will pass on Rakh Arakh to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Rakh Arakh à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Rakh Arakh a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
reforge_valyrian_steel;Reforge Valyrian Steel Sword;Reforger une épée en acier valyrien;;;Reforjar una espada de acero valyrio;;;;;;;;;x
reforge_valyrian_steel_desc;Find a suitable blacksmith to turn your plain Valyrian Steel Sword into the pride of your dynasty!;Trouver un forgeron compétent pour transformer votre épée en acier valyrien en la fierté de votre maison !;;;Encontrar un herrero adecuado para convertir tu simple espada de acero valyrio en el orgullo de tu dinastía!;;;;;;;;;x
CUSTOMTOOLTIPthissword;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] will return when the sword is complete.;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] reviendra lorsque l'épée sera achevée. ;;;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] volverá cuando la espada se haya completado.;;;;;;;;;x
EVTDESC250285;Two blacksmiths offer you their services.;Deux forgerons offrent leur service.;;;Dos herreros te ofrecen sus servicios.;;;;;;;;;x
EVTOPTA250285;I choose you;Je te choisis toi.;;;Te elijo a ti.;;;;;;;;;x
EVTOPTB250285;These two are useless, bring me more.;Ces deux là sont des incapables, qu'on m'en amène d'autres.;;;Estos dos son unos inútiles, tráeme más.;;;;;;;;;x
EVTOPTC250285;I will NEVER reforge this sword.;Je ne reforgerai JAMAIS cette épée !;;;Nunca reforjaré esta espada!;;;;;;;;;x
EVTDESC250286;Which design will be used?;Quelle esthétique préférez vous ?;;;¿Qué diseño preferirás?;;;;;;;;;x
EVTOPT250286;I want that one!;Je veux ce style là !;;;Quiero este de aquí!;;;;;;;;;x
EVTOPT250286_1;Mother's Grief;Chagrin-des-Mères;;;Duelo de la Madre;;;;;;;;;x
EVTOPT250286_2;Black Death;Mort-Noire;;;Muerte Negra;;;;;;;;;x
EVTOPT250286_3;Glory;Gloire;;;Gloria;;;;;;;;;x
EVTOPT250286_4;Skinpeeler;Epluche-peau;;;Desolladora;;;;;;;;;x
EVTOPT250286_5;Del Pino;Brise-Pin;;;Quebrantapinos;;;;;;;;;x
EVTOPT250286_6;Goodsword;Bonnelame;;;Buenaspada;;;;;;;;;x
EVTOPT250286_7;Dornish Kiss;Baiser-Dornien;;;Beso Dorniense;;;;;;;;;x
EVTOPT250286_8;Father's Fury;Furie-des-Pères;;;Furia del Padre;;;;;;;;;x
EVTOPT250286_9;Talon;Serre;;;Orgullo Desmesurado;;;;;;;;;x
EVTOPT250286_10;Jade;Jade;;;Jade;;;;;;;;;x
EVTOPT250286_11;Kingmaker;Faiseuse-de-Roi;;;Hacedora de Reyes;;;;;;;;;x
EVTOPT250286_12;Passion;Passion;;;Pasión;;;;;;;;;x
EVTOPT250286_13;Stranger's Touch;L'Etranger;;;Toque del Desconocido;;;;;;;;;x
EVTOPT250286_14;Mourning Mace;Masse-de-Deuil;;;Maza del Luto;;;;;;;;;x
EVTOPT250286_15;Titan's Bite;Morsure-des-Titans;;;Mordisco del Titán;;;;;;;;;x
EVTOPT250286_16;Dragonbane;Fléaudragon;;;Venganza de Dragón;;;;;;;;;x
EVTOPT250286_17;Finger Eater;Mange-Doigt;;;Comededos;;;;;;;;;x
EVTOPT250286_18;Rakh Arakh;Rakh Arakh;;;Rakh Arakh;;;;;;;;;x
EVTOPTB250286;Show me more!;Montrez moi en plus !;;;Muéstrame más!;;;;;;;;;x
EVTDESC250292;I am an AI Blacksmith deciding;Le forgeron réfléchit;;;La idea del herrero;;;;;;;;;x
EVTOPTA250292;I will steal;Je vais la voler;;;La robaré;;;;;;;;;x
EVTOPTB250292;I will not steal;Je ne vais pas la voler;;;No la robaré;;;;;;;;;x
EVTOPTB250292;I accidentally melted it into vapor.;Je ne vais pas la voler;;;Accidentalmente se derritió en vapor.;;;;;;;;;x
EVTDESC250293;The blacksmith [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] has dishonored the contract and stolen [sword_to_reforge.GetName]! He has taken it and fled [Root.Capital.GetName]! \n\nYou have three years to kill [From.GetHerHim] before your right to the sword is forgotten.;Le forgeron [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] n'a pas honoré son contrat et a volé [From.GetValyrianSwordOwned]. Il s'est enfuit de [Root.Capital.GetName] !\n\nVous avez un an pour le/la tuer, ou vous perdrez vos droits sur l'épée. ;;;El herrero [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha deshonrado el contrato y ha robado su espada. Él ha huido a otra corte! \n\n Tienes un año para matar a [from.GetHerHim] antes de que tu derecho a la espada se olvide.;;;;;;;;;x
EVTOPTA250293;I will look for you, I will find you, and I will kill you;Je te chercherai, je te trouverai, et je te tuerai;;;Quiero su cabeza!!;;;;;;;;;x
EVTDESC250294;The blacksmith [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] has completed his work and presents you with the newly reforged Valyrian steel sword!;Le forgeron [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a terminé son travail et se présente à vous avec la nouvelle épée en acier valyrien reforgée !;;;El herrero [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]  ha terminado su trabajo y se presenta con laespada de acero valyrio recién reforjada!;;;;;;;;;x
EVTOPTA250294;Good. I name it [sword_to_reforge.GetName];Bien. Je la nomme [From.GetValyrianSwordOwned];;;Muy bien;;;;;;;;;x
EVTDESC250295;The blacksmith [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] you hired was incompetent. He brings before you a small ball of Valyrian steel the size of a coin and explains that while reforging it most of the steel was vaporized or lost.;Le forgeron [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] que vous avez engagé était incompétent. Il se présente à vous avec une petite boule d'acier valyrien dans la main et vous explique que la plupart de l'acier a été perdu pendant l'opération.;;;El herrero [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] que contrató era un incompetente. Él trae ante ti una pequeña bola de acero valyrio del tamaño de una moneda y explica que mientras reforjaba la mayor parte del acero esté se vaporiza o se pierde.;;;;;;;;;x
EVTOPTA250295;YOU INCOMPETENT WRETCH!;ABRUTI INCOMPÉTENT ! HORS DE MA VUE, AVANT QUE JE NE TE FASSE COUPER LA TÊTE !;;;Desgraciado incompetente!;;;;;;;;;x
opinion_stole_longclaw;Stole Longclaw ;A volé Grand-Griffe;;;Ha robado a Garra;;;;;;;;;x
opinion_stole_blackfyre;Stole Blackfyre;A volé Feunoyr;;;Ha robado a Fuegoscuro;;;;;;;;;x
opinion_stole_brightroar;Stole Brightroar;A volé Rugissante;;;Ha robado a Rugido;;;;;;;;;x
opinion_stole_heartsbane;Stole Heartsbane;A volé Corvenin;;;Ha robado a Veneno de Corazón;;;;;;;;;x
opinion_stole_ice;Stole Ice;A volé Glace;;;Ha robado a Hielo;;;;;;;;;x
opinion_stole_nightfall;Stole Nightfall;A volé Crépuscule;;;Ha robado a Anochecer;;;;;;;;;x
opinion_stole_darksister;Stole Darksister;A volé Noire Sœur;;;Ha robado a Hermana Oscura;;;;;;;;;x
opinion_stole_ladyforlorn;Stole Lady Forlorn;A volé Dame Affliction;;;Ha robado a Dama Desesperada;;;;;;;;;x
opinion_stole_redrain;Stole Redrain;A volé Pluie Pourpre;;;Ha robado a Lluvia Roja;;;;;;;;;x
opinion_stole_widowswail;Stole Widow's Wail;A volé Pleurs-de-Veuve;;;Ha robado a Lamento de Viuda;;;;;;;;;x
opinion_stole_oathkeeper;Stole Oathkeeper;A volé Féale;;;Ha robado a Guardajuramentos;;;;;;;;;x
opinion_stole_crabspincer;Stole Crabspincer;A volé Pince-Crabe;;;Ha robado a Pinza de Cangrejo;;;;;;;;;x
opinion_stole_strangers_mercy;Stole Stranger's Mercy;A volé Mort-Merci;;;Ha robado a Misericordia del Desconocido;;;;;;;;;x
opinion_stole_anger;Stole my Sword;A volé mon épée;;;Ha robado a Duelo de la Madre;;;;;;;;;x
opinion_stole_black_death;Stole my Sword;A volé mon épée;;;Ha robado a Muerte Negra;;;;;;;;;x
opinion_stole_compassion;Stole my Sword;A volé mon épée;;;Ha robado a Gloria;;;;;;;;;x
opinion_stole_concession;Stole my Sword;A volé mon épée;;;Ha robado a Desolladora;;;;;;;;;x
opinion_stole_del_pino;Stole my Sword;A volé mon épée;;;Ha robado a Quebrantapinos;;;;;;;;;x
opinion_stole_el_swordo;Stole my Sword;A volé mon épée;;;Ha robado a Buenaspada;;;;;;;;;x
opinion_stole_gold_sword;Stole my Sword;A volé mon épée;;;Ha robado a Beso Dorniense;;;;;;;;;x
opinion_stole_happyness;Stole my Sword;A volé mon épée;;;Ha robado a Furia del Padre;;;;;;;;;x
opinion_stole_hubris;Stole my Sword;A volé mon épée;;;Ha robado a Orgullo Desmesurado;;;;;;;;;x
opinion_stole_justice;Stole my Sword;A volé mon épée;;;Ha robado a Jade;;;;;;;;;x
opinion_stole_kingmaker;Stole my Sword;A volé mon épée;;;Ha robado a Hacedora de Reyes;;;;;;;;;x
opinion_stole_passion;Stole my Sword;A volé mon épée;;;Ha robado a Pasión;;;;;;;;;x
opinion_stole_rage;Stole my Sword;A volé mon épée;;;Ha robado a Toque del Desconocido;;;;;;;;;x
opinion_stole_sightblinder;Stole my Sword;A volé mon épée;;;Ha robado a Maza del Luto;;;;;;;;;x
opinion_stole_the_monarchist;Stole my Sword;A volé mon épée;;;Ha robado a Mordisco del Titán;;;;;;;;;x
opinion_stole_the_usurper;Stole my Sword;A volé mon épée;;;Ha robado a Venganza de Dragón;;;;;;;;;x
opinion_stole_worldeater;Stole my Sword;A volé mon épée;;;Ha robado a Comededos;;;;;;;;;x
opinion_stole_worlds_envy;Stole my Sword;A volé mon épée;;;Ha robado a Rakh Arakh;;;;;;;;;x
vigilance;Vigilance;Vigilance;;;Vigilancia;;;;;;;;;x
vigilance_desc;Vigilance is the ancestral Valyrian steel sword of house Hightower;Vigilance est l’ancestrale épée en acier valyrien de la Maison Hightower.;;;Vigilancia es la espada ancestral de acero valyrio de la casa Hightower.;;;;;;;;;x
orphan_maker;Orphan Maker;Faiseuse d'Orphelin;;;Hacedora de Huérfanos;;;;;;;;;x
orphan_maker_desc;Orphan Maker is the ancestral Valyrian steel sword of house Roxton;Faiseuse d'Orphelin est l’ancestrale épée en acier valyrien de la Maison Roxton.;;;Hacedora de Huérfanos es la espada ancestral de acero valyrio de casa Roxton.;;;;;;;;;x
TOOLTIPRECLAIMVIGILANCEWAR;[This.GetFirstNameWithDynasty] shall surrender §YVigilance§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YVigilance§! To §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YVigilancia§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPRECLAIMORPHANMAKERWAR;[This.GetFirstNameWithDynasty] shall surrender §YOrphan Maker§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] livrera §YFaiseuse d'Orphelin§! To §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberá entregar §YHacedora de Huérfanos§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPVIGILANCEWIELDER;[This.GetFirstNameWithDynasty] wields §YVigilance§!\n;[This.GetFirstNameWithDynasty] manie §YVigilance§!\n;;;[This.GetFirstNameWithDynasty] blande a §YVigilancia§!\n;;;;;;;;;x
TOOLTIPORPHANMAKERWIELDER;[This.GetFirstNameWithDynasty] wields §YOrphan Maker§!\n;[This.GetFirstNameWithDynasty] manie §YFaiseuse d'Orphelin§!\n;;;[This.GetFirstNameWithDynasty] blande a §YHacedora de Huérfanos§!\n;;;;;;;;;x
give_vigilance_to_son;Grant Vigilance;Donner [Root.GetFirstName] Vigilance;;;Ceder Vigilancia;;;;;;;;;x
give_vigilance_to_son_desc;I will pass on Vigilance to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Vigilance à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Vigilancia a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
give_orphan_maker_to_son;Grant Orphan Maker;Donner Faiseuse d'Orphelin;;;Ceder a [Root.GetFirstName] Hacedora de Huérfanos;;;;;;;;;x
give_orphan_maker_to_son_desc;I will pass on Orphan Maker to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Faiseuse d'Orphelin à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Hacedora de Huérfanos a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
opinion_stole_vigilance;Stole Vigilance;A volé Vigilance;;;Ha robado a Vigilancia;;;;;;;;;x
opinion_stole_orphan_maker;Stole Orphan Maker;A volé Faiseuse d'Orphelin;;;Ha robado a Hacedora de Huérfanos;;;;;;;;;x
EVTOPTB251400;What are the rules of sword inheritance?;Quelles sont les règles d'héritage pour les épées ?;;;Cuáles son las leyes para heredar una espada?;;;;;;;;;x
TOOLTIPVALYRIANSTEELINHERITANCE;Upon the death of an owner of a valyrian steel blade, the order of precendence for inheritance is:\n1- The current heir, if the same dynasty or child of holder\n2- A grandchild who is head of dynasty\n3- A child/grandchild of the same dynasty\n4- A sibling of the same dynasty\n5- Any member of the same dynasty\n6- Any child/grandchild\n7- Spouse\n8- The current heir, regardless of relation\n9- Liege\n10 -Any vassal\n\nThe sword Dawn is an exception, usually only great knights of House Dayne can claim this sword.\n\nA Targaryen or Corbray will also usually pass Dark Sister or Lady Forlorn respectively to the head of the house upon their death, as traditionally only great warriors of these houses wield these swords.;A la mort d'un détenteur d'une lame en acier valyrien, l'ordre de succession pour l'héritage est le suivant:\n1- L'héritier actuel, s'il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un parent de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'héritier actuel\n6- N'importe quel enfant\n7- L'épouse\n8- Le suerain\n9 -N'importe quel vassal\n\nL'épée Auve est une exception, traditionnellement, seuls les plus grands chevaliers peuvent revendiquer cette épée.\n\nUn Targaryen ou un Corbray lègueront Noire Soeur ou Dame Affliction au chef de la maison après leur mort, puisque traditionnellement, seuls les plus grands guerriers de leur maison manient ces épées.;;;A la muerte de un poseedor de una espada de acero valyrio, el orden de sucesión para heredarla es el siguiente:\n1- El heredero actual, si es de la misma dinastía\n2- Un niño de la misma dinastía\n3- Un pariente de la misma dinastía\n4- Cualquier miembro de la misma dinastía\n5- El heredero actual\n6- Cualquier niño\n7- La esposa\n8- El Señor\n9 -Cualquier vasallo\n\nAlbor es la excepción, tradicionalmente, sólo los mejores caballeros pueden reclamar esta espada.\n\nUn Targaryen o un Corbray legarán Hermana Negra o Dame Desesperada al cabeza de la casa tras su muerte, ya que sólo los más grandes guerreros de sus casas blanden estas espadas.;;;;;;;;;x
EVTDESC250276;[Root.GetTitledFirstName], I wish to offer you and your house a great gift. I hereby grant you [FromFromFrom.GetName], to be passed down to your heirs in perpetuity. I bid you use it with honour.\n\n Yours,\n[FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal];[Root.GetTitledFirstName], j'aimerais vous offrir à vous et à votre famille un grand présent. Je vous remets une lame en acier valyrien que vous pourrez léguer à perpétuité à vos héritiers. J'espère que vous en userez avec honneur.\n\n Bien à vous,\n[FromFrom.GetTitledFirstName] de la maison [FromFrom.GetOnlyDynastyName];;;[Root.GetTitledFirstName], me gustaría ofreceros un presente a vos y a vuestra familia. Os entrego una espada de acero valyrio que podréis legar a perpetuidad a vuestros herederos. Espero que la uséis con honor.\n\n Atentamente,\n[FromFrom.GetTitledFirstName] de la casa [FromFrom.GetOnlyDynastyName];;;;;;;;;x
EVTOPTA250276;Why thank you!;Grand merci !;;;Muchas gracias!;;;;;;;;;x
TOOLTIPRECLAIMTRUTHWAR;[This.GetFirstNameWithDynasty] shall surrender §YTruth§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] devra rendre §YTruth§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberán entregar a §YVerdad§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPTRUTHWIELDER;[This.GetFirstNameWithDynasty] wields §YTruth§!\n;[This.GetFirstNameWithDynasty] manie §YVérité§!\n;;;[This.GetFirstNameWithDynasty] blande a §YVerdad§!\n;;;;;;;;;x
give_truth_to_son;Grant Truth;Donner Vigilance;;;Ceder Verdad;;;;;;;;;x
give_truth_to_son_desc;I will pass on Truth to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Vigilance à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Verdad a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
opinion_stole_truth;Stole Truth;A volé Vigilance;;;Ha robado a Verdad;;;;;;;;;x
TOOLTIP_claim_dawn_calc;Has two of the traits just, kind, brave, diligent, honorable, patient or zealous\n;A deux des traits suivants : juste, aimable, brave, prudent ou honorable.\n;;;;;;;;;;;;x
TOOLTIPRECLAIMLAMENTATIONWAR;[This.GetFirstNameWithDynasty] shall surrender §YLamentation§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] devra rendre §YLamentation§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberán entregar a §YLamento§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPLAMENTATIONWIELDER;[This.GetFirstNameWithDynasty] wields §YLamentation§!\n;[This.GetFirstNameWithDynasty] manie §YLamentation§!\n;;;[This.GetFirstNameWithDynasty] blande a §YLamento§!\n;;;;;;;;;x
give_lamentation_to_son;Grant Lamentation;Donner Lamentation;;;Ceder Lamento;;;;;;;;;x
give_lamentation_to_son_desc;I will pass on Lamentation to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Lamentation à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Lamento a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
opinion_stole_lamentaion;Stole Lamentation;A volé Lamentation;;;Ha robado a Lamento;;;;;;;;;x
TOOLTIPRECLAIMPOISONWAR;[This.GetFirstNameWithDynasty] shall surrender §YPoison§! To §Y[Root.GetFirstNameWithDynasty]§!\n;[This.GetFirstNameWithDynasty] devra rendre §YPoison§! à §Y[Root.GetFirstNameWithDynasty]§!\n;;;[This.GetFirstNameWithDynasty] deberán entregar a §YVeneno§! a §Y[Root.GetFirstNameWithDynasty]§!\n;;;;;;;;;x
TOOLTIPPOISONWIELDER;[This.GetFirstNameWithDynasty] wields §YPoison§!\n;[This.GetFirstNameWithDynasty] manie §YPoison§!\n;;;[This.GetFirstNameWithDynasty] blande a §YVeneno§!\n;;;;;;;;;x
give_poison_to_son;Grant Poison;Donner Poison;;;Ceder Veneno;;;;;;;;;x
give_poison_to_son_desc;I will pass on Poison to [Root.GetFirstName], [Root.GetSheHe] needs it more than I do.;Je vais donner Poison à [Root.GetFirstName], [Root.GetSheHe] en a plus besoin que moi. ;;;Cederé Veneno a [Root.GetFirstName], la necesita más que yo.;;;;;;;;;x
opinion_stole_poison;Stole Poison;A volé Poison;;;Ha robado a Veneno;;;;;;;;;x
TOOLTIPSEAFOAMWIELDER;[This.GetFirstNameWithDynasty] wields §YSeafoam§!\n;[This.GetFirstNameWithDynasty] manie §YSeafoam§!\n;;;[This.GetFirstNameWithDynasty] blande a §YSeafoam§!\n;;;;;;;;;x
has_valyrian_steel_sword_trigger;[This.GetTitledFirstName] owns a valyrian steel sword\n;[This.GetTitledFirstName] possède une épée en acier valyrien\n;;;[This.GetTitledFirstName] posee una espada de acero valyrio\n;;;;;;;;;x
owns_valyrian_steel_sword;Owns a Valyrian Steel Weapon;Possède une arme en acier valyrien;;;Posee un arma de acero valyrio;;;;;;;;;x
EVTDESCvalyrian_steel.100;That lowly curr of a blacksmith still has my Valyrian steel sword, and is still beyond my grasp. My [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] has tracked [valyrian_steel_blacksmith.GetHerHim] down to somewhere in [valyrian_steel_blacksmith.Location.GetName], and says if you were to provide some funds [Root.job_spymaster.GetSheHe] could recover [sword_to_reforge.GetName].;Ce maudit forgeron a toujours mon épée en acier valyrien, et il est toujours hors de portée. Mon [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] l'a poursuivi jusque dans les environs de [valyrian_steel_blacksmith.Location.GetName], et [Root.job_spymaster.GetSheHe] dit que si vous lui fournissez des fonds [Root.job_spymaster.GetSheHe] peut récupérer [valyrian_steel_blacksmith.GetValyrianSwordOwned].;;;Ese maldito herrero todavía  tiene mi espada en acero Valyrian, y  siempre está fuera  de mi alcance. Mi [Root.GetMySpymasterName] [Root.job_spymaster.GetTitledFirstName] lo persiguió en [valyrian_steel_blacksmith.Location.GetName], y [Root.job_spymaster.GetSheHe] dijo que si le proporcionaba fondos [Root.job_spymaster] .GetSheHe] puede recuperar [valyrian_steel_blacksmith.GetValyrianSwordOwned].;;;;;;;;;x
EVTOPTAvalyrian_steel.100;Do whatever it takes!;Faites ce qu'il faut !;;;¡Haz lo que sea necesario!;;;;;;;;;x
TOOLTIPvalyrian_steel.101;[sword_to_reforge.GetName] is recovered;[valyrian_steel_blacksmith.GetValyrianSwordOwned] est récupérée;;;[valyrian_steel_blacksmith.GetValyrianSwordOwned] se ha recuperado;;;;;;;;;x
TOOLTIPvalyrian_steel.102;[sword_to_reforge.GetName] is NOT recovered;[valyrian_steel_blacksmith.GetValyrianSwordOwned] n'est PAS récupérée;;;[valyrian_steel_blacksmith.GetValyrianSwordOwned] NO se ha recuperado;;;;;;;;;x
EVTOPTBvalyrian_steel.100;It is surely beyond our grasp now;C'est sûrement hors de notre portée maintenant;;;Seguramente está fuera de nuestro alcance por ahora;;;;;;;;;x
