#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jade_sea;The Jade Sea;La Mer de Jade;;;El Mar de Jade;;;;;;;;;x
b_ramasar;Ramasar;Ramasar;;;Ramasar;;;;;;;;;x
b_ramasar_city;Ramasar;Ramasar;;;Ramasar;;;;;;;;;x
b_ramasar_temple;Ramasar;Ramasar;;;Ramasar;;;;;;;;;x
d_piqui_jungle;Hezyin;Hezyin;;;Hezyin;;;;;;;;;x
c_hrazeffer;Hezyin;Hezyin;;;Hezyin;;;;;;;;;x
b_hrazeffer;Hezyin;Hezyin;;;Hezyin;;;;;;;;;x
b_hrazeffer_city;Hezyin;Hezyin;;;Hezyin;;;;;;;;;x
b_hrazeffer_temple;Hezyin;Hezyin;;;Hezyin;;;;;;;;;x
c_oholat;Oholat;Oholat;;;Oholat;;;;;;;;;x
b_oholat;Oholat;Oholat;;;Oholat;;;;;;;;;x
b_oholat_city;Oholat;Oholat;;;Oholat;;;;;;;;;x
b_oholat_temple;Oholat;Oholat;;;Oholat;;;;;;;;;x
k_xin;Xin;Xin;;;Xin;;;;;;;;;x
d_xin;Xin;Xin;;;Xin;;;;;;;;;x
c_xin;Xin;Xin;;;Xin;;;;;;;;;x
b_xin;Xin;Xin;;;Xin;;;;;;;;;x
b_xin_city;Xin;Xin;;;Xin;;;;;;;;;x
b_walls_xin;Qingtou;;;;Qingtou;;;;;;;;;x
b_xin_market;Hengshan;;;;Hengshan;;;;;;;;;x
b_xin_temple;Xin;Xin;;;Xin;;;;;;;;;x
c_fatilat;Fujin;Fujin;;;Fujin;;;;;;;;;x
b_fatilat;Fujin;Fujin;;;Fujin;;;;;;;;;x
b_fatilat_city;Fujin;Fujin;;;Fujin;;;;;;;;;x
b_fatilat_temple;Fujin;Fujin;;;Fujin;;;;;;;;;x
c_qeso;Tanqui;Tanqui;;;Tanqui;;;;;;;;;x
b_qeso;Tanqui;Tanqui;;;Tanqui;;;;;;;;;x
d_north_xin;Fujin;Fujin;;;Fujin;;;;;;;;;x
b_qeso_city;Tanqui;Tanqui;;;Tanqui;;;;;;;;;x
b_qeso_temple;Tanqui;Tanqui;;;Tanqui;;;;;;;;;x
c_kolverikh;Baomi;Baomi;;;Baomi;;;;;;;;;x
b_kolverikh;Baomi;Baomi;;;Baomi;;;;;;;;;x
b_kolverikh_city;Baomi;Baomi;;;Baomi;;;;;;;;;x
b_kolverikh_temple;Baomi;Baomi;;;Baomi;;;;;;;;;x
c_north_jungle_yiti;Jiang Ma;Jiang Ma;;;Jiang Ma;;;;;;;;;x
b_north_jungle_yiti;Jiang Ma;Jiang Ma;;;Jiang Ma;;;;;;;;;x
b_north_jungle_yiti_city;Jiang Ma;Jiang Ma;;;Jiang Ma;;;;;;;;;x
b_north_jungle_yiti_temple;Jiang Ma;Jiang Ma;;;Jiang Ma;;;;;;;;;x
d_grey_waste_raiders;Grey Waste Raiders;Pilleurs du Désert Gris;;;Incursores del Desierto Gris;;;;;;;;;x
k_leng;Leng;Leng;;;Leng;;;;;;;;;x
d_leng_ma;Leng Ma;Leng Ma;;;Leng Ma;;;;;;;;;x
c_leng_ma;Leng Ma;Leng Ma;;;Leng Ma;;;;;;;;;x
b_leng_ma;Leng Ma;Leng Ma;;;Leng Ma;;;;;;;;;x
b_leng_ma_city;Leng Ma;Leng Ma;;;Leng Ma;;;;;;;;;x
b_walls_leng_ma;Leng Lam;Murs de Leng Ma;;;Leng Lam;;;;;;;;;x
b_leng_ma_harbour;Kurpannga;Port de Leng Ma;;;Kurpannga;;;;;;;;;x
b_leng_ma_temple;Leng Ma;Leng Ma;;;Leng Ma;;;;;;;;;x
c_leng_xotli;Leng Xotli;Leng Xotli;;;Leng Xotli;;;;;;;;;x
b_leng_xotli;Leng Xotli;Leng Xotli;;;Leng Xotli;;;;;;;;;x
b_leng_xotli_city;Leng Xotli;Leng Xotli;;;Leng Xotli;;;;;;;;;x
b_leng_xotli_temple;Leng Xotli;Leng Xotli;;;Leng Xotli;;;;;;;;;x
d_north_leng;Leng Yi;Nord Leng;;;Leng Yi;;;;;;;;;x
c_leng_yi;Leng Yi;Leng Yi;;;Leng Yi;;;;;;;;;x
b_leng_yi;Leng Yi;Leng Yi;;;Leng Yi;;;;;;;;;x
b_leng_yi_city;Leng Yi;Leng Yi;;;Leng Yi;;;;;;;;;x
b_leng_yi_harbour;Rokoni;Port de Leng Yi;;;Rokoni;;;;;;;;;x
b_walls_leng_yi;Leng Dygra;Murs de Leng Yi;;;Leng Dygra;;;;;;;;;x
b_leng_yi_market;Ammutseba;Port de Leng Yi;;;Ammutseba;;;;;;;;;x
b_leng_yi_temple;Leng Yi;Leng Yi;;;Leng Yi;;;;;;;;;x
c_sedmelluqi;Sedmelluqi;Sedmelluqi;;;Sedmelluqi;;;;;;;;;x
b_sedmelluqi;Sedmelluqi;Sedmelluqi;;;Sedmelluqi;;;;;;;;;x
b_sedmelluqi_city;Sedmelluqi;Sedmelluqi;;;Sedmelluqi;;;;;;;;;x
b_sedmelluqi_temple;Sedmelluqi;Sedmelluqi;;;Sedmelluqi;;;;;;;;;x
d_south_leng;Turrani;Turrani;;;Turrani;;;;;;;;;x
c_turrani;Turrani;Turrani;;;Turrani;;;;;;;;;x
b_turrani;Turrani;Turrani;;;Turrani;;;;;;;;;x
b_turrani_city;Turrani;Turrani;;;Turrani;;;;;;;;;x
b_walls_turrani;Shaurash-Ho;Murs de Turrani;;;Shaurash-Ho;;;;;;;;;x
b_turrani_harbour;Cthulhi;Port de Turrani;;;Cthulhi;;;;;;;;;x
b_turrani_temple;Turrani;Turrani;;;Turrani;;;;;;;;;x
c_dendrrah;Dendrrah;Dendrrah;;;Dendrrah;;;;;;;;;x
b_dendrrah;Dendrrah;Dendrrah;;;Dendrrah;;;;;;;;;x
b_dendrrah_city;Dendrrah;Dendrrah;;;Dendrrah;;;;;;;;;x
b_dendrrah_temple;Dendrrah;Dendrrah;;;Dendrrah;;;;;;;;;x
c_manticore_isles;Manticore Isles;Iles Manticores;;;Islas de la Mantícora;;;;;;;;;x
b_manticore_isles;Great Manticore;Iles Manticores;;;Gran Mantícora;;;;;;;;;x
c_manticore_isles_city;Lesser Manticore;Iles Manticores;;;Islas de la Mantícora;;;;;;;;;x
b_manticore_isles_temple;Jade Isle;Iles de Jade;;;Isla de Jade;;;;;;;;;x
c_marahai;Marahai;Marahai;;;Marahai;;;;;;;;;x
b_marahai;Marahai;Marahai;;;Marahai;;;;;;;;;x
c_marahai_city;Marahai;Marahai;;;Marahai;;;;;;;;;x
b_marahai_temple;Marahai;Marahai;;;Marahai;;;;;;;;;x
k_the_five_forts;The Five Forts;Les Cinq Forts;;;Los Cinco Fuertes;;;;;;;;;x
k_the_five_forts_adj;Five Forts;Cinq Forts;;;Cinco Fuertes;;;;;;;;;x
d_the_five_forts;The Five Forts;Les Cinq Forts;;;Los Cinco Fuertes;;;;;;;;;x
d_the_five_forts_adj;Five Forts;Cinq Forts;;;Cinco Fuertes;;;;;;;;;x
c_the_five_forts;The Five Forts;Les Cinq Forts;;;Los Cinco Fuertes;;;;;;;;;x
b_golden_fort;The Golden Fort;Le Fort doré;;;El Fuerte Dorado;;;;;;;;;x
b_bleeding_fort;The Bleeding Fort;Le Fort sanglant;;;El Fuerte Sangrante;;;;;;;;;x
b_black_fort;The Black Fort;Le Fort noir;;;El Fuerte Negro;;;;;;;;;x
b_lion_fort;The Lion Fort;Le Fort du lion;;;El Fuerte del León;;;;;;;;;x
b_east_fort;The East Fort;Le Fort oriental;;;El Fuerte del Este;;;;;;;;;x
c_pass_of_the_morn;The Pass of Morn;Le col du Matin;;;El Paso de la Alborada;;;;;;;;;x
b_pass_of_the_morn;The Pass of Morn;Le col du Matin;;;El Paso de la Alborada;;;;;;;;;x
b_pass_of_the_morn_city;The Pass of Morn;Le col du Matin;;;El Paso de la Alborada;;;;;;;;;x
b_pass_of_the_morn_temple;The Pass of Morn;Le col du Matin;;;El Paso de la Alborada;;;;;;;;;x
c_bleeding_marches;The Blood Marsh;Les marais sanglants;;;Las Marismas Sangrantes;;;;;;;;;x
b_bleeding_marches;The Blood Marsh;Les marais sanglants;;;Las Marismas Sangrantes;;;;;;;;;x
b_bleeding_marches_city;The Blood Marsh;Les marais sanglants;;;Las Marismas Sangrantes;;;;;;;;;x
b_bleeding_marches_temple;The Blood Marsh;Les marais sanglants;;;Las Marismas Sangrantes;;;;;;;;;x
k_asshai;The Shadow;Asshai;;;La Sombra;;;;;;;;;x
k_asshai_adj;Shadow;Asshai'i;;;Asshaíta;;;;;;;;;x
d_asshai;Asshai;Asshai;;;Asshai;;;;;;;;;x
d_asshai_adj;Asshai'i;Asshai'i;;;Asshaíta;;;;;;;;;x
c_asshai;Asshai;Asshai;;;Asshai;;;;;;;;;x
b_asshai;Asshai;Asshai;;;Asshai;;;;;;;;;x
b_asshai_city;Asshai;Asshai;;;Asshai;;;;;;;;;x
b_asshai_temple;Asshai;Asshai;;;Asshai;;;;;;;;;x
b_asshai_walls;The Shadow Gates;Les Portes de l'Ombre;;;Las Murallas Sombrías;;;;;;;;;x
b_asshai_harbour;Saffron Harbour;Port-Safran;;;Puerto Azafrán;;;;;;;;;x
b_phrae;Phrae;Phrae;;;Phrae;;;;;;;;;x
d_stygai;Stygai;Stygai;;;Stygai;;;;;;;;;x
c_stygai;Stygai;Stygai;;;Stygai;;;;;;;;;x
b_stygai;Stygai;Stygai;;;Stygai;;;;;;;;;x
b_stygai_castle;Stygai;Stygai;;;Stygai;;;;;;;;;x
b_stygai_city;Stygai;Stygai;;;Stygai;;;;;;;;;x
c_asshaii_coast;Chaiysa;Chaiysa;;;Chaiysa;;;;;;;;;x
b_asshaii_coast;Chaiysa;Chaiysa;;;Chaiysa;;;;;;;;;x
b_asshaii_coast_city;Chaiysa;Chaiysa;;;Chaiysa;;;;;;;;;x
b_asshaii_coast_temple;Chaiysa;Chaiysa;;;Chaiysa;;;;;;;;;x
c_saffron_coast;The Saffron Lands;Les terres de safran;;;Las Tierras del Azafrán;;;;;;;;;x
b_saffron_coast;The Saffron Lands;Les terres de safran;;;Las Tierras del Azafrán;;;;;;;;;x
b_saffron_coast_city;The Saffron Lands;Les terres de safran;;;Las Tierras del Azafrán;;;;;;;;;x
b_saffron_coast_temple;The Saffron Lands;Les terres de safran;;;Las Tierras del Azafrán;;;;;;;;;x
d_shadowlands;North Shadowlands;Les Contrées de l'Ombre;;;Tierras Sombrías Septentrionales;;;;;;;;;x
c_east_shadowmount;Taegye;Taegye;;;Taegye;;;;;;;;;x
b_east_shadowmount;Taegye;Taegye;;;Taegye;;;;;;;;;x
b_east_shadowmount_city;Taegye;Taegye;;;Taegye;;;;;;;;;x
b_east_shadowmount_temple;Taegye;Taegye;;;Taegye;;;;;;;;;x
c_east_shadowvall;Manpos;Manpos;;;Manpos;;;;;;;;;x
b_east_shadowvall;Manpos;Manpos;;;Manpos;;;;;;;;;x
b_east_shadowvall_city;Manpos;Manpos;;;Manpos;;;;;;;;;x
b_east_shadowvall_temple;Manpos;Manpos;;;Manpos;;;;;;;;;x
c_west_shadowmount;Diniktum;Diniktum;;;Diniktum;;;;;;;;;x
b_west_shadowmount;Diniktum;Diniktum;;;Diniktum;;;;;;;;;x
b_west_shadowmount_city;Diniktum;Diniktum;;;Diniktum;;;;;;;;;x
b_west_shadowmount_temple;Diniktum;Diniktum;;;Diniktum;;;;;;;;;x
c_west_shadowvall;Kumirai;Kumirai;;;Kumirai;;;;;;;;;x
b_west_shadowvall;Kumirai;Kumirai;;;Kumirai;;;;;;;;;x
b_west_shadowvall_city;Kumirai;Kumirai;;;Kumirai;;;;;;;;;x
b_west_shadowvall_temple;Kumirai;Kumirai;;;Kumirai;;;;;;;;;x
c_shadow_coast;Saraburai;Saraburai;;;Saraburai;;;;;;;;;x
b_shadow_coast;Saraburai;Saraburai;;;Saraburai;;;;;;;;;x
b_shadow_coast_city;Saraburai;Saraburai;;;Saraburai;;;;;;;;;x
b_shadow_coast_temple;Saraburai;Saraburai;;;Saraburai;;;;;;;;;x
c_shadow_plains;Shadow Port;Port-ombreux;;;Puerto Sombrío;;;;;;;;;x
b_shadow_plains;Shadow Port;Port-ombreux;;;Puerto Sombrío;;;;;;;;;x
b_shadow_plains_city;Shadow Port;Port-ombreux;;;Puerto Sombrío;;;;;;;;;x
b_shadow_plains_temple;Shadow Port;Port-ombreux;;;Puerto Sombrío;;;;;;;;;x
d_saffron_straits;The Saffron Straits;Détroit de Safran;;;El Estrecho del Azafrán;;;;;;;;;x
c_ulos;Ulos;Ulos;;;Ulos;;;;;;;;;x
b_ulos;Ulos;Ulos;;;Ulos;;;;;;;;;x
b_ulos_city;Ulos;Ulos;;;Ulos;;;;;;;;;x
b_ulos_temple;Ulos;Ulos;;;Ulos;;;;;;;;;x
c_saffron_isle;Saffron Isle;Ile Safran;;;Isla Azafrán;;;;;;;;;x
b_saffron_isle;Saffron Isle;Ile Safran;;;Isla Azafrán;;;;;;;;;x
b_saffron_isle_city;Saffron Isle;Ile Safran;;;Isla Azafrán;;;;;;;;;x
b_saffron_isle_temple;Saffron Isle;Ile Safran;;;Isla Azafrán;;;;;;;;;x
king_asshai;Shadow King;;;;Rey Sombra;;;;;;;;;x
king_asshai_female;Shadow Queen;;;;Reina Sombra;;;;;;;;;x
city_empire_asshai;Empire;Empire;;;Imperio;;;;;;;;;x
city_empire_of_asshai;Empire of;Empire de;;;Imperio de;;;;;;;;;x
city_emperor_asshai;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
city_emperor_female_asshai;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
city_emperor_foa_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_emperor_foa_female_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_kingdom_asshai;Great City;Grande cité;;;Gran Ciudad;;;;;;;;;x
city_kingdom_of_asshai;Great City of;Grande cité de;;;Gran Ciudad de;;;;;;;;;x
city_king_asshai;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
city_king_female_asshai;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
city_king_foa_asshai_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
city_king_foa_female_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
family_palace_baron_asshai;Shadow Councillor;Conseiller de l'Ombre;;;Consejero en la Sombra;;;;;;;;;x
oligarchy_empire_asshai;Empire;Empire;;;Imperio;;;;;;;;;x
oligarchy_empire_of_asshai;Empire of;Empire de;;;Imperio de;;;;;;;;;x
oligarchy_emperor_asshai;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
oligarchy_emperor_female_asshai;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_foa_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_emperor_foa_female_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_kingdom_asshai;Great City;Grande cité;;;Gran Ciudad;;;;;;;;;x
oligarchy_kingdom_of_asshai;Great City of;Grande cité de;;;Gran Ciudad de;;;;;;;;;x
oligarchy_king_asshai;High Councillor;Haut Conseiller;;;Gran Consejero;;;;;;;;;x
oligarchy_king_female_asshai;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_foa_asshai_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
oligarchy_king_foa_female_asshai;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
job_castellan_asshai;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_job_castellan_asshai;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
job_castellan_female_asshai;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_job_castellan_female_asshai;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
LP_job_castellan_asshai;First Councillor;Premier Conseiller;;;Primer Consejero;;;;;;;;;x
city_duke_asshai;Shadow Councillor;Conseiller de l'Ombre;;;Consejero en la Sombra;;;;;;;;;x
city_count_asshai;Councillor;Conseiller;;;Consejero;;;;;;;;;x
city_baron_asshai;Councillor;Conseiller;;;Consejero;;;;;;;;;x
#Taken from punjabi place names;;;;;;;;;;;;;;x
k_nghai;N'Ghai;N'Ghai;;;N'Ghai;;;;;;;;;x
k_nghai_adj;N'Ghai;N'Ghai;;;N'Ghai;;;;;;;;;x
d_nghai;Near Mossovy;;;;Mossovy Cercano;;;;;;;;;x
c_northpoint;Sabhra Point;Pointe-Nord;;;Punta Sabhra;;;;;;;;;x
b_northpoint;Sabhra Point;Pointe-Nord;;;Punta Sabhra;;;;;;;;;x
b_northpoint_city;Sabhra Point;Pointe-Nord;;;Punta Sabhra;;;;;;;;;x
b_northpoint_temple;Sabhra Point;Pointe-Nord;;;Punta Sabhra;;;;;;;;;x
c_east_nghai;Chak Haraj;Chak Haraj;;;Chak Haraj;;;;;;;;;x
b_east_nghai;Chak Haraj;Chak Haraj;;;Chak Haraj;;;;;;;;;x
b_east_nghai_city;Chak Haraj;Chak Haraj;;;Chak Haraj;;;;;;;;;x
b_east_nghai_temple;Chak Haraj;Chak Haraj;;;Chak Haraj;;;;;;;;;x
c_west_nghai;Malsian;Malsian;;;Malsian;;;;;;;;;x
b_west_nghai;Malsian;Malsian;;;Malsian;;;;;;;;;x
b_west_nghai_city;Malsian;Malsian;;;Malsian;;;;;;;;;x
b_west_nghai_temple;Malsian;Malsian;;;Malsian;;;;;;;;;x
d_nefer;Nefer;Nefer;;;Nefer;;;;;;;;;x
c_nefer;Nefer;Nefer;;;Nefer;;;;;;;;;x
b_nefer;Nefer;Nefer;;;Nefer;;;;;;;;;x
b_nefer_city;Nefer;Nefer;;;Nefer;;;;;;;;;x
b_nefer_harbour;Tibba;Tibba;;;Tibba;;;;;;;;;x
b_nefer_temple;Nefer;Nefer;;;Nefer;;;;;;;;;x
c_fields_nefer;Waryah;Waryah;;;Waryah;;;;;;;;;x
b_fields_nefer;Waryah;Waryah;;;Waryah;;;;;;;;;x
b_fields_nefer_city;Waryah;Waryah;;;Waryah;;;;;;;;;x
b_fields_nefer_temple;Waryah;Waryah;;;Waryah;;;;;;;;;x
c_bay_nefer;Janfiala;Janfiala;;;Janfiala;;;;;;;;;x
b_bay_nefer;Janfiala;Janfiala;;;Janfiala;;;;;;;;;x
b_bay_nefer_city;Janfiala;Janfiala;;;Janfiala;;;;;;;;;x
b_bay_nefer_temple;Janfiala;Janfiala;;;Janfiala;;;;;;;;;x
empire_of_yi_ti;Golden Empire of;Empire Doré de;;;Imperio Dorado de;;;;;;;;;x
empire_yi_ti;Golden Empire;Empire Doré;;;Imperio Dorado;;;;;;;;;x
emperor_yi_ti_group;God Emperor;Empereur-dieu;;;Dios Emperador;;;;;;;;;x
emperor_female_yi_ti_group;God Empress;Impératrice-déesse;;;Diosa Emperatriz;;;;;;;;;x
emperor_foa_yi_ti_group;Most Exalted One;Votre Exalté;;;Su Exaltación;;;;;;;;;x
emperor_foa_female_yi_ti_group;Most Exalted One;Votre Exaltée;;;Su Exaltación;;;;;;;;;x
GOD_EMPEROR;God Emperor;Empereur-dieu;;;Dios Emperador;;;;;;;;;x
GOD_EMPEROR_female;God Empress;Impératrice-déesse;;;Diosa Emperatriz;;;;;;;;;x
GOD_EMPEROR_FOA;Your Majesty;Votre Majesté;;;Su Majestad;;;;;;;;;x
EMPIRE_OF;Empire of;Empire de;;;Imperio de;;;;;;;;;x
king_yi_ti_group;Prince;Prince;;;Príncipe;;;;;;;;;x
king_female_yi_ti_group;Princess;Princesse;;;Princesa;;;;;;;;;x
kingdom_yi_ti_group;Principality;Principauté;;;Principado ;;;;;;;;;x
kingdom_of_yi_ti_group;Principality of;Principauté de;;;Principado de;;;;;;;;;x
king_foa_yi_ti_group;Your Highness;Votre Grandeur;;;Su Grandeza;;;;;;;;;x
king_foa_female_yi_ti_group;Your Highness;Votre Grandeur;;;Su Grandeza;;;;;;;;;x
LP_king_yi_ti;Prefect;Préfet;;;Prefecto;;;;;;;;;x
LP_king_female_yi_ti;Prefect;Préfet;;;Prefecta;;;;;;;;;x
LP_kingdom_yi_ti;Prefecture;Préfecture;;;Prefectura;;;;;;;;;x
LP_kingdom_of_yi_ti;Prefecture of;Préfecture de;;;Prefectura de;;;;;;;;;x
duke_yi_ti;Prefect;Préfet;;;Prefecto;;;;;;;;;x
duke_female_yi_ti;Prefect;Préfet;;;Prefecta;;;;;;;;;x
duchy_yi_ti;Prefecture;Préfecture;;;Prefectura;;;;;;;;;x
duchy_of_yi_ti;Prefecture of;Préfecture de;;;Prefectura de;;;;;;;;;x
count_yi_ti_group;Count;Comte;;;Conde;;;;;;;;;x
count_female_yi_ti_group;Countess;Comtesse;;;Condesa;;;;;;;;;x
county_yi_ti_group;County;Comté;;;Condado;;;;;;;;;x
county_of_yi_ti_group;County of;Comté de;;;Condado de;;;;;;;;;x
emperor_job_castellan_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
emperor_job_marshal_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
emperor_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
emperor_job_castellan_female_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
emperor_job_marshal_female_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
emperor_job_chancellor_female_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
LP_emperor_job_castellan_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
LP_emperor_job_marshal_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
LP_emperor_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
LP_emperor_job_castellan_female_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
LP_emperor_job_marshal_female_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
LP_emperor_job_chancellor_female_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
oligarchy_emperor_job_castellan_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
oligarchy_emperor_job_marshal_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
oligarchy_emperor_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
oligarchy_emperor_job_castellan_female_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
oligarchy_emperor_job_marshal_female_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
oligarchy_emperor_job_chancellor_female_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
job_castellan_yi_ti_group;Chancellor;Chancelier;;;Canciller;;;;;;;;;x
job_marshal_yi_ti_group;Commandant;Commandant;;;Comandante;;;;;;;;;x
job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
job_spymaster_yi_ti_group;Minister of the Household;Ministre de la maisonnée;;;Ministro de la Familia;;;;;;;;;x
job_physician_yi_ti_group;Court Physician;Physicien de cour;;;Médico de la Corte;;;;;;;;;x
job_treasurer_yi_ti_group;Minister of the Treasury;Ministre du Trésor;;;Ministro del Tesoro;;;;;;;;;x
job_spiritual_yi_ti_group;Minister of Ceremonies;Ministre des Cérémonies;;;Ministro de Ceremonias;;;;;;;;;x
city_emperor_job_castellan_yi_ti_group;Imperial Chancellor;Chancellier impérial;;;Canciller Imperial;;;;;;;;;x
city_emperor_job_marshal_yi_ti_group;Grand Commandant;Grand commandant;;;Gran Comandante;;;;;;;;;x
city_emperor_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
city_job_castellan_yi_ti_group;Chancellor;Chancelier;;;Canciller;;;;;;;;;x
city_job_marshal_yi_ti_group;Commandant;Commandant;;;Comandante;;;;;;;;;x
city_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
city_job_spymaster_yi_ti_group;Minister of the Household;Ministre de la maisonnée;;;Ministro de la Familia;;;;;;;;;x
city_job_physician_yi_ti_group;Court Physician;Physicien de cour;;;Físico de la Corte;;;;;;;;;x
city_job_treasurer_yi_ti_group;Minister of the Treasury;Ministre du Trésor;;;Ministro del Tesoro;;;;;;;;;x
city_job_spiritual_yi_ti_group;Minister of Ceremonies;Ministre des Cérémonies;;;Ministro de Ceremonias;;;;;;;;;x
LP_job_castellan_yi_ti_group;Chancellor;Chancelier;;;Canciller;;;;;;;;;x
LP_job_marshal_yi_ti_group;Commandant;Commandant;;;Comandante;;;;;;;;;x
LP_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
LP_job_spymaster_yi_ti_group;Minister of the Household;Ministre de la maisonnée;;;Ministro de la Familia;;;;;;;;;x
LP_job_physician_yi_ti_group;Court Physician;Physicien de cour;;;Médico de la Corte;;;;;;;;;x
LP_job_treasurer_yi_ti_group;Minister of the Treasury;Ministre du Trésor;;;Ministro del Tesoro;;;;;;;;;x
LP_job_spiritual_yi_ti_group;Minister of Ceremonies;Ministre des Cérémonies;;;Ministro de Ceremonias;;;;;;;;;x
oligarchy_job_castellan_yi_ti_group;Chancellor;Chancelier;;;Canciller;;;;;;;;;x
oligarchy_job_marshal_yi_ti_group;Commandant;Commandant;;;Comandante;;;;;;;;;x
oligarchy_job_chancellor_yi_ti_group;Minister of Justice;Ministre de la Justice;;;Ministro de Justicia;;;;;;;;;x
oligarchy_job_spymaster_yi_ti_group;Minister of the Household;Ministre de la maisonnée;;;Ministro de la Familia;;;;;;;;;x
oligarchy_job_physician_yi_ti_group;Court Physician;Physicien de cour;;;Médico de la Corte;;;;;;;;;x
oligarchy_job_treasurer_yi_ti_group;Minister of the Treasury;Ministre du Trésor;;;Ministro del Tesoro;;;;;;;;;x
oligarchy_job_spiritual_yi_ti_group;Minister of Ceremonies;Ministre des Cérémonies;;;Ministro de Ceremonias;;;;;;;;;x
emperor_title_commander_yi_ti_group;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
LP_emperor_title_commander_yi_ti_group;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
oligarchy_emperor_title_commander_yi_ti_group;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
title_commander_yi_ti_group;General;Général;;;General;;;;;;;;;x
city_emperor_title_commander_yi_ti_group;Imperial General;Général impérial;;;General Imperial;;;;;;;;;x
city_title_commander_yi_ti_group;General;Général;;;General;;;;;;;;;x
LP_title_commander_yi_ti_group;General;Général;;;General;;;;;;;;;x
emperor_title_queen_mother_female_hyrkoon_group;Matriarch;Matriarche;;;Matriarca;;;;;;;;;x
king_hyrkoon_group;Patriarch;Patriarche;;;Patriarca;;;;;;;;;x
king_female_hyrkoon_group;Matriarch;Matriarche;;;Matriarca;;;;;;;;;x
kingdom_hyrkoon_group;Patrimony;Patrimoine;;;Patrimonio ;;;;;;;;;x
kingdom_of_hyrkoon_group;Patrimony of;Patrimoine de;;;Patrimonio de;;;;;;;;;x
