#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ironborn_reaving;Go on a Reaving;Partir pour un raid;;;Organizar una expedición de saqueo;;;;;;;;;x
EVTDESCraid_events.660B;[FromFrom.GetName] has fallen, and [From.GetTitledFirstName] has made me [From.GetHerHis] concubine!;[FromFrom.GetName] est tombé, et [From.GetTitledFirstName] a fait de moi sa femme-sel !;;;[FromFrom.GetName] ha caído, y [From.GetTitledFirstName] me ha hecho su concubina!;;;;;;;;;x
EVTOPTDraid_events.660;Oh no!;Oh non !;;;Oh no!;;;;;;;;;x
EVTDESCraid_events.661;After looting my castle for all it's worth, [FromFrom.GetFirstNameWithDynasty] has insulted me further by taking my [From.GetRootRelation] [From.GetFirstName] as [FromFrom.GetHerHis] [FromFrom.GetMyConsortName]!;Après avoir piller mon château de tous ses biens, [FromFrom.GetFirstNameWithDynasty] m'a insulté davantage en faisant de ma [From.GetRootRelation] [From.GetFirstName] sa femme-sel !;;;Tras saquear mi castillo, [FromFrom.GetFirstNameWithDynasty] me insultó aún más haciendo de mi [From.GetRootRelation] [From.GetFirstName] su esposa de sal!;;;;;;;;;x
EVTDESCraid_events.661B;After looting my castle for all it's worth, [FromFrom.GetFirstNameWithDynasty] has insulted me further by taking my [From.GetRootRelation] [From.GetFirstName] as [FromFrom.GetHerHis] [From.GetConsortName]!;Après avoir piller mon château de tous ses biens, [FromFrom.GetFirstNameWithDynasty] m'a insulté davantage en faisant de ma [From.GetRootRelation] [From.GetFirstName] sa femme-sel !;;;Tras saquear mi castillo, [FromFrom.GetFirstNameWithDynasty] me insultó aún más haciendo de mi [From.GetRootRelation] [From.GetFirstName] su concubina!;;;;;;;;;x
EVTOPTDraid_events.661;I will avenge [From.GetHerHim];Je la vengerai !;;;La vengaré!;;;;;;;;;x
EVTDESCraid_events.662;[FromFrom.GetTitledFirstName] has proved [FromFrom.GetHerHim]self worthy to be called Ironborn as [FromFrom.GetSheHe] has captured [From.GetFirstName] as [FromFrom.GetHerHis] [From.GetMyConsortName].;[FromFrom.GetTitledFirstName] a prouvé qu'il méritait d'être appelé fer-né en capturant [From.GetFirstName] et en faisant sa femme-sel. ;;;[FromFrom.GetTitledFirstName] ha demostrado que merece ser un Hijo del Hierro capturando a [From.GetFirstName] y haciéndola su esposa de sal.;;;;;;;;;x
EVTDESCraid_events.662B;[FromFrom.GetTitledFirstName] has proved [FromFrom.GetHerHim]self a worthy warrior as [FromFrom.GetSheHe] has captured [From.GetFirstName] as [FromFrom.GetHerHis] [From.GetConsortName].;[FromFrom.GetTitledFirstName] a prouvé qu'il méritait d'être appelé fer-né en capturant [From.GetFirstName] et en faisant sa femme-sel. ;;;[FromFrom.GetTitledFirstName] ha demostrado que merece ser un Hijo del Hierro capturando a [From.GetFirstName] y haciéndola su concubina.;;;;;;;;;x
EVTOPTDraid_events.662;Good [FromFrom.GetManWoman]!;Voilà un homme !;;;Buen hombre!;;;;;;;;;x
EVTDESCraid_events.67;Whilst sacking [FromFrom.GetName] for all it's worth, you and your men have located someone in the castle who owns a Valyrian steel blade. Will you take this sword as your own? They may not give it willingly...;Tandis que vous vous empariez de toutes les richesses de [FromFrom.GetName], vous et vos hommes avez repéré quelqu'un au château qui possède un épée en acier valyrien. Allez-vous prendre son arme ? Elle ne la donnera pas de son plein gré…;;;Mientras tomas las riquezas de [FromFrom.GetName], tú y tus hombres os dais cuenta de que alguien en el castillo posee una espada valyria. Tomarás su arma? No la dará de buen grado...;;;;;;;;;x
EVTOPTAraid_events.67;Yes, I shall pay the iron price for it!;Oui, je payerai le fer-prix pour m'en emparer !;;;Sí, pagaré el precio del hierro por ello!;;;;;;;;;x
EVTOPTAraid_events.67B;Yes, I shall make it mine!;Oui, je payerai le fer-prix pour m'en emparer !;;;Sí, la haré mía!;;;;;;;;;x
TOOLTIPraid_events.670;You hunt down [This.GetFirstNameWithDynasty];Vous pourchassez [This.GetFirstNameWithDynasty];;;Das caza a [This.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTBraid_events.675;No, I have no need for shiny blades;Non, je n'ai pas besoin d'une telle lame.;;;No, no necesito una espada así.;;;;;;;;;x
EVTDESCraid_events.670;[From.GetFirstNameWithDynasty] and [From.GetHerHis] band of pillagers have breached my castle defenses and have begun sacking it it ruthlessly. After a while, [From.GetSheHe] has cornered me, and now claims my prized valyrian steel blade for [From.GetHerHim]self!;[From.GetFirstNameWithDynasty] et sa bande de pillards ont brisé les défenses de mon château et ont commencé à le saccager. Au bout d'un moment [From.GetSheHe] a fini par me repérer et [From.GetSheHe] réclame désormais ma précieuse lame valyrienne !;;;[From.GetFirstNameWithDynasty] y su banda de saqueadores rompieron las defensas de mi castillo y empezaron a saquearlo. Al cabo de un rato, repararon en mi presencia y me reclaman mi preciosa espada valyria!;;;;;;;;;x
EVTOPTAraid_events.670;I will die before [From.GetSheHe] steals [Root.GetValyrianSword]!;Je mourrai avant qu'[From.GetSheHe] ne s’empare de [Root.GetValyrianSword] !;;;Moriré antes de que [From.GetSheHe] robe [Root.GetValyrianSword]!;;;;;;;;;x
TOOLTIPraid_events.672;You attack [From.GetFirstNameWithDynasty]...;Vous attaquez [From.GetFirstNameWithDynasty]...;;;Atacas a [From.GetFirstNameWithDynasty]...;;;;;;;;;x
EVTOPTBraid_events.670;I surrender, please don't hurt me!;Je me rends ! S'il vous plaît, épargnez moi !;;;¡Me rindo! Por favor, perdóname!;;;;;;;;;x
TOOLTIPraid_events.671;[From.GetFirstNameWithDynasty] takes your sword;[From.GetFirstNameWithDynasty] prend votre épée.;;;[From.GetFirstNameWithDynasty] toma tu espada.;;;;;;;;;x
EVTDESCraid_events.671;[From.GetFirstNameWithDynasty] has been found cowering in one of the towers, and eagerly surrenders to your will. [From.GetSheHeCap] is made to kneel before you outside before all your men, and offers up [From.GetValyrianSwordHerHis] to you in exchange for [From.GetHerHis] life.;[From.GetFirstNameWithDynasty] a été découvert dans une tour où [From.GetSheHe] se terrait. [From.GetSheHeCap] s'est empressé de se rendre avant de mettre un genou à terre devant vous et de vous offrir [Root.GetValyrianSword] en échange de sa vie.;;;[From.GetFirstNameWithDynasty] se ha encontrado acobardado en una de las torres, y se rinde apresuradamente a su voluntad. [From.GetSheHeCap] se a arrodillado delante de todos tus hombres, y ofrece [From.GetValyrianSwordHerHis] a cambio de [From.GetHerHis] su vida.;;;;;;;;;x
EVTOPTAraid_events.671;I now wield this for House [Root.GetOnlyDynastyName]!;Je manie désormais cette épée au nom de la maison [Root.GetOnlyDynastyName]!;;;!Ahora esgrimo esta espada en nombre de la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTDESCraid_events.672;Atop the battlements [From.GetFirstNameWithDynasty] is finally cornered. The blade you desire, [From.GetValyrianSwordHerHis], is covered in the red blood of the reavers [From.GetSheHe] has slain, and as [From.GetSheHe] charges you know you must truly pay the iron price to win this sword.;Debout sur les remparts, [From.GetFirstNameWithDynasty] fait face aux razzieurs et son épée, [From.GetValyrianSwordHerHis], est déjà gorgée de leur sang. [From.GetSheHeCap] vous charge et vous savez désormais qu'il va vous falloir payer le fer-prix pour vous gagner cette épée.;;;Encima de las almenas [From.GetFirstNameWithDynasty] finalmente se arrinconó. La espada que deseas, [From.GetValyrianSwordHerHis], está cubierta con la sangre roja de los saqueadores [From.GetSheHe] ha sido asesinado, y como [From.GetSheHe] te acusa de que debes pagar el precio de hierro para ganar esta espada.;;;;;;;;;x
EVTDESCraid_events.672B;Atop the battlements [From.GetFirstNameWithDynasty] is finally cornered. The blade you desire, [From.GetValyrianSwordHerHis], is covered in the red blood of the raiders [From.GetSheHe] has slain, and as [From.GetSheHe] charges you know you must truly fight to win this sword.;Debout sur les remparts, [From.GetFirstNameWithDynasty] fait face aux razzieurs et son épée, [From.GetValyrianSwordHerHis], est déjà gorgée de leur sang. [From.GetSheHeCap] vous charge et vous savez désormais qu'il va vous falloir payer le fer-prix pour vous gagner cette épée.;;;Encima de las almenas [From.GetFirstNameWithDynasty] finalmente se arrinconó. La espada que deseas, [From.GetValyrianSwordHerHis], está cubierta por la sangre roja de los asaltantes [From.GetSheHe] ha muerto, y como [From.GetSheHe] te acusa de que debes luchar para ganar esta espada.;;;;;;;;;x
EVTOPTAraid_events.672;[From.GetSheHeCap]'ll need more than a fancy sword;[From.GetSheHeCap] va lui falloir bien plus qu'une belle épée.;;;[From.GetSheHeCap] necesitará más que una hermosa espada.;;;;;;;;;x
EVTDESCraid_events.673;[FromFrom.GetFirstNameWithDynasty] lies defeated at your feet, [FromFrom.GetSheHe] was brave you must admit. But now you pick up your prize, [From.GetValyrianSwordHerHis].;[FromFrom.GetFirstNameWithDynasty] gît à vos pieds. C'était un brave, il n'y a pas de doutes. Mais maintenant vous vous emparez de votre prix, [From.GetValyrianSwordHerHis], son épée en acier valyrien.;;;[FromFrom.GetFirstName With Dynasty] es derrotado a tus pies, [FromFrom.GetSheHe] fue valiente, debes admitirlo. Pero ahora recoges tu premio, [From.GetValyrianSwordHerHis];;;;;;;;;x
EVTOPTAraid_events.673;I now wield this for House [Root.GetOnlyDynastyName]!;Je manie désormais cette épée au nom de la maison [Root.GetOnlyDynastyName]!;;;!Ahora esgrimo  esta espada en nombre de la casa [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTDESCraid_events.674;[From.GetFirstNameWithDynasty] has beaten you into submission, almost killing you. And now [From.GetSheHe] claims [Root.GetValyrianSwordOwned], your family's heirloom, as [From.GetHerHis] own, and has also taken you as a 'trophy' as well.;[From.GetFirstNameWithDynasty] vous a vaincu. Et maintenant [From.GetSheHe] réclame [Root.GetValyrianSwordOwned], votre épée valyrienne ancestrale. [From.GetSheHeCap] s'est également emparé(e) de vous en tant que’trophée’.;;;[From.GetFirstNameWithDynasty] te ha vencido y casi te mata. Y ahora [From.GetSheHe] afirma que la [Root.GetValyrianSwordOwned], es una reliquia de su familia, y ha tomado a [From.GetHerHis], como un 'trofeo'.;;;;;;;;;x
EVTOPTAraid_events.674;The shame I have brought;Quelle humiliation.;;;Que humillacion para mi Casa.;;;;;;;;;x
EVTDESCraid_events.676;After successfully sacking the castle, [From.GetFirstNameWithDynasty] captured [FromFrom.GetFirstNameWithDynasty] who wielded a fearsome sword made of Valyrian Steel. As [From.GetSheHe] paid the iron price for it, [From.GetSheHe] has claimed it for [From.GetHerHim]self.;Après avoir saccagé le château, [From.GetFirstNameWithDynasty] a capturé [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName qui maniait une épée faite en acier valyrien. [From.GetSheHe] a payé le fer-prix pour elle, [From.GetSheHe] l'a fait sienne.;;;Después de saquear con éxito el castillo, [From.GetFirstNameWithDynasty] capturó a [FromFrom.GetFirstNameWithDynasty] que manejaba una espada temible hecha de acero Valyrio. Como [From.GetSheHe] pagó el precio de hierro por ello, [From.GetSheHe] la ha reclamado para [From.GetHerHim].;;;;;;;;;x
EVTDESCraid_events.676B;After successfully sacking the castle, [From.GetFirstNameWithDynasty] captured [FromFrom.GetFirstNameWithDynasty] who wielded a fearsome sword made of Valyrian Steel. [From.GetSheHeCap] has claimed the blade for [From.GetHerHim]self.;Après avoir saccagé le château, [From.GetFirstNameWithDynasty] a capturé [FromFrom.GetFirstName] [FromFrom.GetOnlyDynastyName qui maniait une épée faite en acier valyrien. [From.GetSheHe] a payé le fer-prix pour elle, [From.GetSheHe] l'a fait sienne.;;;Después de saquear con éxito el castillo, [From.GetFirstNameWithDynasty] capturó a [FromFrom.GetFirstNameWithDynasty] que manejaba una espada temible hecha de acero Valyrio. [From.GetSheHeCap] ha reclamado la espada para [From.GetHerHim].;;;;;;;;;x
EVTDESCraid_events.677;[From.GetFirstNameWithDynasty] and [From.GetHerHis] fellow brigands could not handle you. You and a core of your men carved a path through them and escaped the castle, [Root.GetValyrianSwordOwned] still in your hands all the while.;[From.GetFirstNameWithDynasty] et ses pillards n'ont pas pu vous arrêter. Vous et certains de vos hommes avez pu vous frayer un chemin à travers leur rang et vous échapper. [Root.GetValyrianSwordOwned] , votre épée en acier valyrien ancestrale est toujours entre vos mains.;;;[From.GetFirstNameWithDynasty] y [From.GetHerHis] tus compañeros no pudieron resistir. Tú y varios de tus hombres abrieron un camino a través de ellos y escaparon del castillo, [Root.GetValyrianSwordOwned] todavía esta en tus manos.;;;;;;;;;x
EVTOPTAraid_events.677;A small victory at least;Une petite victoire, au moins…;;;Una pequeña victoria al menos.;;;;;;;;;x
opinion_stole_sword;Stole my Sword;A volé mon épée;;;Ha robado mi espada;;;;;;;;;x
EVTDESCraid_events.90;The village was ripe for pillaging, and [From.GetFirstNameWithDynasty]'s attack was a roaring success. The screams of the [Root.GetPeasantNamePlural] and the crackle of fire were sweet music to the reaver's ears. They have won much plunder and honour this day!;Le village était mûr pour le pillage et l'attaque de [From.GetFirstNameWithDynasty] fut un succès total. Les gémissements des paysans et le crépitement des flammes sont les plus belles musiques du monde pour des razzieurs. Aujourd'hui ils ont gagné quantité de butins et d'honneur!;;;La aldea estaba madura para el ataque y el asalto de [From.GetFirstNameWithDynasty] fue un éxito total. Los gemidios de los campesinos y el crepitar de las llamas son la mejor música del mundo para los saqueadores. Hoy han ganado gran cantidad de botín y honor!;;;;;;;;;x
EVTDESCraid_events.91;[From.GetFirstNameWithDynasty]'s decision to attack a fishing village produced a fight that was hard fought and a few of [From.GetHerHis] men were lost. But none can withstand the might of the ironborn and they have claimed their iron price today, winning much plunder from these weak people.;La décision de [From.GetFirstNameWithDynasty] d'attaquer le village de pêcheurs a résulté en un combat difficile et acharné et certains de ses hommes ont trouvé la mort. Mais personne ne peut résister à la force des fer-nés et ils ont revendiqué le fer-prix aujourd'hui, gagnant leur butin par le sang de ce peuple faible.;;;La decisión de [From.GetFirstNameWithDynasty] de atacar la aldea de pescadores resultó en un dificil combate y perdieron algunos hombres. Pero no pudieron resistir la fuerza de los Hijos del Hierro y reivindicaron el precio del hierro, ganando su botín por la sangre de este débil pueblo.;;;;;;;;;x
EVTDESCraid_events.92;Most thought [From.GetFirstNameWithDynasty]'s raid upon the a village would be simple, but these men who sow were more hardy than they thought. [From.GetHerHisCap] Ironborn managed to make a beachhead but were fought back. They have failed to claim their iron price today.;Beaucoup pensait que le raid de [From.GetFirstNameWithDynasty] serait une simple formalité, mais ces hommes qui sèment étaient plus forts qu'ils le pensaient. Ses fer-nés ont réussit à mettre en place une tête de pont mais ont été repoussés. Ils ne sont pas parvenus à revendiquer le fer-prix aujourd'hui.;;;Muchos pensaban que el asalto de [From.GetFirstNameWithDynasty] sería una simple formalidad pero esos hombres que siembran eran más fuertes de lo que pensaban. Los Hijos del Hierro lograron establecer una cabeza de puente, pero fueron rechazados. No consiguieron reclamar el precio del hierro hoy.;;;;;;;;;x
EVTDESCraid_events.93;[From.GetFirstNameWithDynasty]'s raid upon a fishing village was a resounding failiure, the men of the fields were much stronger than they thought. Many of [From.GetHerHis] reavers were slain and the dishonour [From.GetSheHe] has brought upon the Ironborn is plain to see.;Le raid de [From.GetFirstNameWithDynasty] sur un village de pêcheurs fut un échec retentissant. Les hommes des champs étaient bien plus forts qu'ils ne l'avaient pensé. Beaucoup de ses razzieurs ont été tué et le déshonneur qu'il a jeté sur les fer-nés est terrible. ;;;El asalto de [From.GetFirstNameWithDynasty] a una aldea de pescadores fue un rotundo fracaso. Los hombres de los campos eran más fuertes de lo que pensaban. Muchos de sus hombres murieron y deshonraron el nombre de los Hijos del Hierro.;;;;;;;;;x
EVTDESCraid_events.94;[From.GetFirstNameWithDynasty] fearlessly decided to attack a merchant flotilla, and the enemy crews were no match for [From.GetHerHis] Ironborn. They sank their poorly manned escorts, siezed there cargo and slew or took captive many men. This is why we follow the Old Way!;[From.GetFirstNameWithDynasty] a décidé sans crainte d'attaquer une flotille marchande. L'équipage ennemi n'était que du menu fretin pour les Fer-nés. Ils ont coulé leur pitoyable escorte, pillé leur cargaison et capturé de nombreux hommes. Voilà pourquoi nous suivons l'Antique Voie! ;;;[From.GetFirstNameWithDynasty] decidió sin temor atacar una flota mercante. La tripulación no fue más que un aperitivo a manos de los Hijos del Hierro. Hundieron a su escolta, saquearon su cargamento y capturaron a numerosos prisioneros. Por esto seguimos las Antiguas Costumbres!;;;;;;;;;x
EVTDESCraid_events.95;[From.GetFirstNameWithDynasty]'s decision to attack a merhcant fleet was sound, the fleet was fairly well defended. They lost a few men siezing their ships as well as taking some damge to their longships, but in the end no one can resist the Ironborn reavers and much cargo as well many captives were taken.;La décision de [From.GetFirstNameWithDynasty] d'attaquer la flotte marchande était bonne. La flotte était bien défendue. Ils ont perdu quelques hommes lorsqu'ils ont abordé leurs bateaux et certaines de leurs boutres ont été endommagées. Mais à la fin, personne ne peut résister aux valeureux Fer-nés et ils se sont emparé de leur cargaison et fait de nombreux prisonniers. ;;;La decisión de [From.GetFirstNameWithDynasty] de atacar la flota mercante fue acertada. La flota estaba bien defendida. Perdieron algunos hombres mientras abordaban sus naves y unos cuantos barcoluengos fueron dañados. Pero al final, no pudieron resistir contra los valerosos Hijos del Hierro y se hicieron con su cargamento y numerosos prisioneros.;;;;;;;;;x
EVTDESCraid_events.96;[From.GetFirstNameWithDynasty] 's attack on an enemy merhcant fleet seemed foolhardy, as the enemy merchants were too well armed for [From.GetHerHim] to take their gold. They utilised their warships to good effect, not allowing the ironborn to board their merhcant vessels. We lost a few men, but we shall be back to take our Iron price.;La décision de [From.GetFirstNameWithDynasty] d'attaquer une flotte marchande semble avoir été imprudente. Les marchands ennemis étaient bien trop armés pour qu'ils puissent prendre leur or. Ils ont bien manœuvré leurs navires de guerre pour empêcher les fer-nés d'aborder leurs voiles marchandes. Quelques hommes festoient désormais dans les demeures liquides mais les fer-nés reviendront pour prendre leur fer-prix. ;;;La decisión de [From.GetFirstNameWithDynasty] de atacar una flota mercante parece haber sido imprudente. La flota enemiga estaba muy bien armada para poder tomar su oro. Maniobraron sus navíos de guerra para impedirles abordar sus buques mercantes. Perdieron a unos cuantos hombres pero los Hijos del Hierro regresarán para tomar el precio del hierro.;;;;;;;;;x
EVTDESCraid_events.97;[From.GetFirstNameWithDynasty]'s attack on an merhcant flotilla was a disaster. Their warships were too well armed and well manned and [From.GetSheHe] lost many men and longships trying to board their vessels. This makes us look poor ironborn indeed.;L'attaque de[From.GetFirstNameWithDynasty] sur une flottille marchande a tourné au désastre. Leurs navires de guerres étaient bien trop armés et manœuvrées et les fer-nés ont perdu nombre d'hommes et de boutres en tentant d'aborder leurs bateaux. Voilà de bien piètres Fer-nés. ;;;El ataque de [From.GetFirstNameWithDynasty] a una flotilla mercante fue un desastre. Sus navíos de guerra estaban muy bien armados y dirigidos y los Hijos del Hierro perdieron un gran número de hombres y barcoluengos intentando abordar sus barcos. Unos medicores Hijos del Hierro. ;;;;;;;;;x
EVTOPTAraid_events.97;Lackwits;Imbéciles.;;;Imbéciles;;;;;;;;;x
EVTDESCraid_events.98;Whilst [raiding_target.GetSheHe] has been embroiled in conflict, we have been raiding the lands loyal to [raiding_target.GetTitledFirstName] [raiding_target.GetOnlyDynastyName]. [raiding_target.GetSheHeCap] will surely be displeased with this flagrant breach of the laws of [raiding_target.GetHerHis] land.;Alors qu'ils étaient occupés par un autre conflit, nous avons razzié les terres des seigneurs loyaux au Trône de Fer. Ils ne vont sûrement pas apprécier cette infraction aux lois des terres vertes. ;;;Mientras estaban ocupados en otro conflicto, hemos saqueado las tierras de los señores leales al Trono de Hierro. Seguramente estarán disgustados por esta violación flagrante de las leyes de sus tierras.;;;;;;;;;x
EVTOPTAraid_events.98;Pfft, we are Ironborn! We follow our own way!;Pfff, nous sommes des fer-nés, nous suivons notre propre voie !;;;Pfff, somos Hijos del Hierro, seguimos nuestras propias costumbres!;;;;;;;;;x
EVTOPTAraid_events.98B;I care not what they think!;Je me moque de ce qu'ils pensent!;;;No importa lo que piensen!;;;;;;;;;x
TOOLTIPlootvengeancereturnloot;All women kidnapped, slaves captured and swords stolen from the subjects of [Root.GetTitle] [Root.GetFirstNameWithDynasty] by [From.GetFirstNameWithDynasty] and [From.GetHerHis] fellow his raiders shall be returned, along with a sum of gold in recompense.\n;Toutes les femmes kidnappées et les épées volées aux sujets de [Root.GetTitle] [Root.GetFirstNameWithDynasty] par [From.GetFirstNameWithDynasty] et ses razzieurs devront être rendues avec en prime un certain montant en or en guise de dédommagement.\n;;;Todas las mujeres secuestradas y las espadas robadas a los súbditos de [Root.GetTitle] [Root.GetFirstNameWithDynasty] por [From.GetFirstNameWithDynasty] y sus saqueadores deberán ser devueltas con una suma de dinero en concepto de compensación.\n;;;;;;;;;x
EVTDESCraid_events.99;[From.GetFirstNameWithDynasty] has defeated us on the field of battle, as vengeance for us pillaging [From.GetHerHis] lands in the Old Way. Now we must return all the plunder we have taken from them...;[From.GetFirstNameWithDynasty] nous a défait sur le champ de bataille. Nous devons maintenant rendre tout notre butin que nous avons pillé sur ses terres... ;;;[From.GetFirstNameWithDynasty] nos ha derrotado en el campo de batalla. Ahora debemos devolver todo el botín que saqueamos en sus tierras...;;;;;;;;;x
EVTDESCraid_events.99B;[From.GetFirstNameWithDynasty] has defeated us on the field of battle, as vengeance for us pillaging [From.GetHerHis] lands and seas. Now we must return all the plunder we have taken from them...;[From.GetFirstNameWithDynasty] nous a défait sur le champ de bataille, en rétribution de nos pillages de ses terres. Nous devons maintenant rendre tout notre butin...;;;[From.GetFirstNameWithDynasty] nos ha derrotado en el campo de batalla. Ahora debemos devolver todo el botín que saqueamos en sus tierras...;;;;;;;;;x
EVTOPTAraid_events.99;We will rise again;Nous ressurgirons.;;;Resurgiremos de nuevo.;;;;;;;;;x
EVTDESCraid_events.100;I have been rescued from these filthy pillagers by [FromFrom.GetFirstNameWithDynasty], who defeated [From.GetFirstNameWithDynasty] in the field as vengeance for pillaging [From.GetHerHis] lands.;J'ai été sauvé de ces sales fer-nés par [FromFrom.GetFirstNameWithDynasty], qui a défait [From.GetFirstNameWithDynasty] sur le champ de bataille.;;;He sido rescatado de estos sucios Hijos del Hierro por [FromFrom.GetFirstNameWithDynasty], que ha vencido a [From.GetFirstNameWithDynasty] en el campo de batalla.;;;;;;;;;x
EVTOPTAraid_events.100;Now I can go home;Je peux rentrer chez moi.;;;Puedo regresar a casa.;;;;;;;;;x
EVTDESCraid_events.101;[FromFrom.GetFirstNameWithDynasty] is truly a poor leader for [FromFrom.GetSheHe] has been defeated and has been forced into concessions by as recompense for [FromFrom.GetHerHis] raiding. I will now have to return my captive [From.GetFirstName] to [From.Liege.GetTitledFirstNameWithDynastyNoRegnal] as part of these terms.;[FromFrom.GetFirstNameWithDynasty] est un bien piètre razzieur, [FromFrom.GetSheHe] a été défait et forcé à faire des concessions. Je vais devoir renvoyer ma femme-sel [From.GetFirstName] à [From.Liege.GetTitledFirstNameWithDynastyNoRegnal] comme convenu par les termes de l'accord. ;;;[FromFrom.GetFirstNameWithDynasty] es realmente un saqueador mediocre, ha sido derrotado y forzado a hacer concesiones. Debo devolver a mi esposa de sal [From.GetFirstName] a [From.Liege.GetTitledFirstNameWithDynastyNoRegnal] como parte de los términos del acuerdo. ;;;;;;;;;x
EVTOPTAraid_events.101;How humiliating;Quelle humiliation.;;;Que humillación.;;;;;;;;;x
EVTDESCraid_events.102;The filthy pillager [FromFrom.GetFirstNameWithDynasty] has been forced to concede to defeat, and has agreed terms of recompense. One of these terms is that my [From.GetRootRelation] [From.GetFirstName] is to be returned to my custody, after a frightful time of captivity.;Le sale razzieur [FromFrom.GetFirstNameWithDynasty] a été forcé de reconnaître sa défaite et a accepté un accord de paix. L'un de ses termes précise que ma [From.GetRootRelation] [From.GetFirstName] sera libérée après avoir capturée comme femme-sel.;;;El sucio saqueador [FromFrom.GetFirstNameWithDynasty] ha sido forzado a reconocer su derrota y a aceptar un acuerdo de paz. Uno de esos términos precisa que mi [From.GetRootRelation] [From.GetFirstName] sea liberada tras haber sido capturada como esposa de sal.;;;;;;;;;x
EVTOPTAraid_events.102;Praise [Root.Religion.GetRandomGodName] for [From.GetHerHis] safe return;Loué(s) soi(en)t [Root.Religion.GetRandomGodName] pour son retour.;;;Alabado sea [Root.Religion.GetRandomGodName] por su retorno.;;;;;;;;;x
EVTDESCraid_events.103;[From.GetFirstNameWithDynasty] is truly a poor reaver for [From.GetSheHe] has been defeated and has been forced into concessions by [FromFrom.GetFirstNameWithDynasty] as recompense for [From.GetHerHis] raiding. I will now have to return my prized artifact, captured for the supposed glory of [Root.GetOnlyDynastyName].;[From.GetFirstNameWithDynasty] est un bien piètre razzieur, [From.GetSheHe] a été défait et a été forcé à faire des concessions par [FromFrom.GetFirstNameWithDynasty]. Je vais maintenant devoir rendre ma précieuse épée en acier valyrien, prise pour la gloire de la maison [Root.GetOnlyDynastyName].;;;[FromFrom.GetFirstNameWithDynasty] es realmente un saqueador mediocre, ha sido derrotado y forzado a hacer concesiones por [FromFrom.GetFirstNameWithDynasty]. Debo devolver mi preciosa espada valyria como parte de los términos del acuerdo.;;;;;;;;;x
EVTOPTAraid_events.103;This will not go unanswered;Cela ne sera pas oublié.;;;Esto no quedará sin respuesta.;;;;;;;;;x
EVTDESCraid_events.104;The filthy pillager [FromFrom.GetFirstNameWithDynasty] has been forced to concede to defeat, and has agreed terms of recompense. One of these terms is that my ancestral heirloom is confiscated from [From.GetFirstNameWithDynasty] and returned into the keeping of House [Root.GetOnlyDynastyName].;Le sale razzieur [FromFrom.GetFirstNameWithDynasty] a été forcé de reconnaître sa défaite et a accepté un accord de paix. L'un de ses termes précise que mon épée en acier valyrienne ancestrale sera confisquée à [From.GetFirstNameWithDynasty] et redeviendra le trésor de la maison [Root.GetOnlyDynastyName].;;;Uno de esos términos precisa que mi espada valyria ancestral sea confiscada a [From.GetFirstNameWithDynasty] y devuelta a la casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTOPTAraid_events.104;Justice;Justice.;;;Justicia.;;;;;;;;;x
TOOLTIPlootvengeancereturnlootinvasion;All women kidnapped, slaves captured and swords stolen from the subjects of [From.GetTitle] [From.GetFirstNameWithDynasty] by [Root.GetFirstNameWithDynasty] and [Root.GetHerHis] fellow his raiders shall be returned, along with a sum of gold in recompense.\n;Toutes les femmes kidnappées et les épées volées aux sujets de [From.GetTitle] [From.GetFirstNameWithDynasty] par [Root.GetFirstNameWithDynasty] et ses razzieurs devront être rendues, avec en prime un certain montant en or en guise de dédommagement.\n;;;Todas las mujeres secuestradas y las espadas robadas a los súbditos de [From.GetTitle] [From.GetFirstNameWithDynasty] por [Root.GetFirstNameWithDynasty] y sus saqueadores deberán ser devueltas con una suma de dinero en concepto de compensación.\n;;;;;;;;;x
EVTDESCraid_events.399;This past month your [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] has been organising a reaving, a reaving [From.GetSheHe] has announced will target the seas of The Disputed Lands. [From.GetSheHeCap] and [From.GetHerHis] fellow reavers are now ready, and have set sail from [From.Location.GetName] on their quest to follow the old way.;Lors de la dernière lune, votre [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] a organisé une razzia, une razzia qui a pour objectif les Terres Disputés. [From.GetSheHeCap] est désormais prêt et a appareillé de [From.Location.GetName] avec ses razzieurs pour suivre l'antique voie. ;;;El mes pasado tu [From.GetRootRelation] [From.GetTitledFirstNameWithDynasty] organizó una expedición de saqueo, una expedición hacia las Tierras de la Discordia que ya está lista para partir de [From.Location.GetName] para continuar con las antiguas costumbres.;;;;;;;;;x
