kingsguard;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.16;The Kingsguard, also known poetically as the 'White Swords' or 'White Cloaks', are the royal bodyguards of [Root.GetIronThroneRealmName]. Supposedly the finest knights in the Seven Kingdoms, they are sworn to protect their king and his family with their own lives, to obey his commands, and to keep his secrets. They are sworn for life and are forbidden from owning land, taking a wife, or fathering children.;La Garde Royale parfois appellée la Blanche Epée ou la Blanche Garde et dont les membres sont surnommés les Manteaux Blancs, est la garde rapprochée du Souverain du Trône de Fer. Ses membres sont supposés être les plus fines lames des Sept Couronnes, ils jurent de protéger le roi et sa famille au mépris de leur vie, d'obéir à ses ordres et de garder ses secrets. Ils servent à vie et ne peuvent détenir de terres, prendre femme ou avoir des enfants. ;;;La Guardia Real, también conocida como las Espadas Blancas o las Capas Blancas, es la guardia del rey del Trono de Hierro. Supuestamente, está formada por los mejores caballeros de los Siete Reinos, quienes juran proteger al rey y su familia con sus propias vidas, obedeciendo sus órdenes y guardando sus secretos. Juran servir de por vida y renuncian a poseer tierras, tomar esposa o tener hijos.;;;;;;;;;x;
EVTOPTAkingsguard.16;I will be a noble Lord Commander;Je serai un noble Lord Commandant;;;Seré un noble Lord Comandante;;;;;;;;;x;
EVTDESCkingsguard.18;Lord Commander of the Kingsguard is the title held by the most senior officer of the Kingsguard. The Lord Commander is appointed by the king, generally from the existing pool of Kingsguard.;Lord Commandant de la Garde Royale est le titre porté par le plus ancien des Manteaux Blancs. Le Lord Commandant est nommé par le Roi, généralement au sein de la Garde Royale. ;;;Lord Comandante de la Guardia Real es el título en manos del capa blanca más antiguo. El Lord Comandante es nombrado por el Rey, por lo general dentro de la Guardia Real.;;;;;;;;;x;
TOOLTIPKGLADYFORLORN;Ser [This.GetFirstName] wielded the Valyrian steel sword Lady Forlorn, the ancestral blade of House Corbray;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Dame Affliction, la lame ancestrale de la maison Corbray ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio Dama Desesperada, la hoja ancestral de la Casa Corbray;;;;;;;;;x;
TOOLTIPKGREDRAIN;Ser [This.GetFirstName] wielded the Valyrian steel sword Red Rain, the ancestral blade of House Reyne, and later of House Drumm;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Pluie Pourpre, la lame ancestrale de la maison Reyne, puis de la maison Timbal ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio Lluvia Roja, la hoja ancestral de la Casa Reyne, y posteriormente de la Casa Drumm;;;;;;;;;x;
TOOLTIPKGCRABSPINCER;Ser [This.GetFirstName] wielded the Valyrian steel axe Crab's Pincer, the ancestral weapon of House Celtigar;Ser [This.GetFirstName] maniait la hache en acier valyrien Pince-Crabe, l'arme ancestrale de la maison Celtigar;;;Don [This.GetFirstName] blandió el hacha de acero valyrio Pinza del Cangrejo, el hacha ancestral de la Casa Celtigar;;;;;;;;;x;
TOOLTIPEVTOPTC20800002;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] shall be designated as the next Lord Commander of the Kingsguard\n;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] va être désigné comme le prochain Lord Commandant de la Garde Royale\n;;;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] será designado como el próximo Lord Comandante de la Guardia Real\n;;;;;;;;;x;
EVTOPTC20800002;Designate as next Lord Commander;Désigné comme prochain Lord Commandant;;;Designado como el próximo Lord Comandante;;;;;;;;;x;
EVTDESCkingsguard.67;Protecting the King can be arduous and fairly tedious work, perhaps I should pursue a lover to liven things up?;Protéger le Roi peut-être une tâche fatigante et ennuyeuse, peut-être devrais-je entretenir une relation avec une femme pour égayer mes journées ? ;;;Proteger el Rey puede ser una tarea agotadora y aburrida, ¿quizá debería tener una relación con una mujer para alegrar mis días?;;;;;;;;;x;
EVTOPTAkingsguard.67;Yes, the urge is too great!;Oui, cela devient urgent !;;;Sí, urgentemente;;;;;;;;;x;
EVTOPTBkingsguard.67;I took a vow, I must resist;J'ai prononcé mes vœux, je dois résister;;;Pronuncié mis votos, debo resistir;;;;;;;;;x;
EVTDESCkingsguard.68;Scandal! I was calling on one of my Sworn Brother [KG_has_the_lover.GetTitledFirstName] when I found [KG_has_the_lover.GetHerHim] entwined in a sordid embrace with a courtier. Surely this is a grave action which the [TopLiege.GetTitle] must be informed of? ;Scandale ! Je rendais visite à l'un de mes frères jurés lorsque je l'ai découvert en train d'enlacer et d'embrasser une courtisane. Voilà une affaire bien grave dont Sa Majesté mérite d'être informée !;;;¡Escándalo! Visité a uno de mis hermanos juramentados y lo descubrí tratando de abrazar y besar a una cortesana. ¡Es un asunto muy serio del que Su Majestad debe ser informado!;;;;;;;;;x;
EVTOPTAkingsguard.68;Yes, I will inform the [TopLiege.GetTitle] at once!;Oui, je vais immédiatement en informer Sa Majesté !;;;Sí, informaré inmediatamente al Rey!;;;;;;;;;x;
EVTOPTBkingsguard.68;It does no harm;Il n'y a pas mort d'homme;;;Yo no he visto nada;;;;;;;;;x;
EVTDESCkingsguard.69;[Root.PrimaryTitle.GetFOA], it has come to my attention that, in direct contravention of [KG_has_the_lover.GetHerHis] vows to protect your person, [KG_has_the_lover.GetTitledFirstName] has been having a sordid affair with one of your courtiers. I trust [KG_has_the_lover.GetSheHe] will be dealt with accordingly.\n\nYours, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal];[Root.PrimaryTitle.GetFOA], j'ai appris qu'un de mes frères jurés avait eu une sordide relation avec l'une de vos courtisanes, brisant par là même ses voeux. Je crois qu'il doit être traité en conséquence de ses actes.\n\nVotre Serviteur, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;[Root.PrimaryTitle.GetFOA], me he enterado de que uno de mis hermanos juramentados ha roto sus votos al tener una relación con una de las cortesanas. Considero que debe ser tratado en consecuencia de sus actos.\n\nAtentamente [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x;
EVTDESCkingsguard.69B;[Root.PrimaryTitle.GetFOA], it has come to the Small Council's attention that, in direct contravention of [KG_has_the_lover.GetHerHis] vows to protect your person, [KG_has_the_lover.GetTitledFirstName] has been having a sordid affair with one of your courtiers.;[Root.PrimaryTitle.GetFOA], le Conseil Restreint a appris que [KG_has_the_lover.GetTitledFirstName] avait eu une sordide relation avec une personne à votre cour, brisant par là-même ses vœux.;;;[Root.PrimaryTitle.GetFOA], el Consejo se ha enterado de que [KG_has_the_lover.GetTitledFirstName] tiene una relación con una persona de la corte, rompiendo con ello sus votos.;;;;;;;;;x;
EVTOPTAkingsguard.69;Only death is sufficient for such actions;Seule la mort peut effacer une telle faute;;;Sólo la muerte puede borrar tales actos;;;;;;;;;x;
EVTOPTDkingsguard.69;Imprion him and remove him from the Kingsguard;Emprisonnez-le et chassez le de la Garde Royale;;;Encarceladlo y echarlo de la Guardia Real;;;;;;;;;x;
TOOLTIPkingsguard.75;Your [Root.GetHusbandWifeOpp] will be dealt with accordingly;Votre [Root.GetHusbandWifeOpp] sera traité(e) en conséquence;;;Tu [Root.GetHusbandWifeOpp] será tratada en consecuencia;;;;;;;;;x;
EVTOPTBkingsguard.69;I shall have him gelded and sent to the Wall;Je vais le faire castrer avant de l'envoyer au Mur;;;Lo castraré antes de enviarlo al Muro;;;;;;;;;x;
EVTDESCkingsguard.70;[Root.GetFirstNameWithDynasty], The [From.GetTitle] has decreed that your sordid affair cannot go unpunished. Your actions are a gross contravention of your sworn vows to protect the [From.GetTitle]'s person. Hence [From.GetSheHe] has ordered your immediate beheading.\n\nThis is the judgment of [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], le(a) [From.GetTitle] a décrété que votre sordide affaire ne pouvait rester impunie. Vos actes ont clairement souillé et brisé vos voeux de protéger la personne du(e la) [From.GetTitle]. En conséquence [From.GetSheHe] vous a condamné à mort, par décapitation.\n\nTel est le jugement de [From.GetTitledFirstName], [From.GetTitle] des Andals, des Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], el [From.GetTitle] ha decretado que tu sórdida relación no puede quedar impune. Tus acciones han violado gravemente tus votos de proteger al [From.GetTitle]. Te ha condenado a muerte por decapitación. \n\nEsta es la sentencia de [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x;
EVTDESCkingsguard.71;The [From.GetTitle] was most shocked at your revelations, and agreed it was a grave action which needed punishment. [From.GetSheHeCap] has ordered the immediate beheading of [KG_has_the_lover.GetTitledFirstName].;Le(a) [From.GetTitle] a été très choqué(e) par vos révélations et a décidé que ces actes graves ne pouvaient rester impunis. [From.GetSheHeCap] a ordonné la mise à mort immédiate de votre frère juré, par décapitation. ;;;El [From.GetTitle] quedó muy sorprendido por la revelación y decidió que estos graves hechos no podían quedar impunes. Ha ordenado la muerte inmediata de tu hermano juramentado por decapitación.;;;;;;;;;x;
EVTDESCkingsguard.72;[Root.GetFirstNameWithDynasty], The [From.GetTitle] has decreed that your sordid affair cannot go unpunished. Your actions are a gross contravention of your sworn vows to protect the [From.GetTitle]'s person. Hence [From.GetSheHe] has decided to have you gelded and sent to the Wall.\n\nThis is the judgment of [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], le(a) [From.GetTitle] a décrété que votre sordide affaire ne pouvait rester impunie. Vos actes ont clairement souillé et brisé vos voeux de protéger la personne du(e la) [From.GetTitle]. En conséquence [From.GetSheHe] vous a condamné à la castration et au Mur.\n\nTel est le jugement de [From.GetTitledFirstName], [From.GetTitle] des Andals, des Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], el [From.GetTitle] ha decretado que tu sórdida relación no puede quedar impune. Tus acciones han violado gravemente tus votos de proteger al [From.GetTitle]. Te ha condenado a la castración y a ser enviado al Muro.\n\nEsta es la sentencia de [From.GetTitledFirstName], [From.GetTitle] de los Ándalos, los Rhoynar y los Primeros Hombres, Señor de los Siete Reinos y Protector del Reino.;;;;;;;;;x;
EVTDESCkingsguard.73;The [From.GetTitle] was most shocked at your revelations, and agreed it was a grave action which needed punishment. [From.GetSheHeCap] has ordered your Sworn Brother is to be gelded and sent to the Wall.;Le(a) [From.GetTitle] a été très choqué(e) par vos révélations et a décidé que ces actes graves ne pouvaient rester impunis. [From.GetSheHeCap] a ordonné la castration de votre frère juré avant de l'envoyer au Mur.;;;El [From.GetTitle] quedó muy sorprendido por la revelación y decidió que estos graves hechos no podían quedar impunes. Ha ordenado castrar a tu hermano juramentado y a ser enviado al Muro.;;;;;;;;;x;
EVTOPTAkingsguard.71;A just punishment;Un juste châtiment;;;Un castigo justo;;;;;;;;;x;
EVTDESCkingsguard.74;[From.GetHerHisCap] Grace was not concerned with your evidence of [KG_has_the_lover.GetTitledFirstName]'s sordid affair. [From.GetSheHeCap] dismissed it as natural, saying it was doing no harm.;Sa Grâce n'a pas été réellement dérangée par vos preuves quant aux sordides agissements de votre frère juré. [From.GetSheHeCap] a déclaré que ceci était naturel et ne faisait de mal à personne. ;;;Su Alteza no estaba realmente preocupado por tus evidencias sobre los actos de tu hermano juramentado. Dijo que era natural y que no hizo daño a nadie.;;;;;;;;;x;
EVTOPTAkingsguard.74;But he swore a vow!;Mais il a prononcé ses vœux !;;;¡Pero hizo un juramento!;;;;;;;;;x;
EVTDESCkingsguard.75;Your [Root.GetHusbandWifeOpp] [Root.Spouse.GetFirstName] has been caught having an affair with one of your sworn guards. You have had him punished, but now what to do with your unfaithful partner?;Votre épouse [Root.Spouse.GetFirstName] a été découverte en train de forniquer avec l'un de vos manteaux blancs. Vous l'avez puni, mais maintenant qu'allez vous faire de votre partenaire infidèle ? ;;;Tu mujer [Root.Spouse.GetFirstName] ha sido sorprendida teniendo una aventura con uno de tus capas blancas. A él lo has castigado, ¿Qué harás con tu pareja infiel?;;;;;;;;;x;
EVTOPTAkingsguard.75;[Root.Spouse.GetSheHeCap] must be executed!;[Root.Spouse.GetSheHeCap] doit être exécuté(e) ! ;;;¡[Root.Spouse.GetSheHeCap] debe ser ejecutada!;;;;;;;;;x;
EVTOPTBkingsguard.75;Put [Root.Spouse.GetHerHim] in the dungeon;Jetez-la au cachot;;;¡A las mazmorras!;;;;;;;;;x;
EVTOPTCkingsguard.75;I forgive;Je lui pardonne;;;Lo perdono;;;;;;;;;x;
EVTDESCkingsguard.7299;[Root.GetFirstNameWithDynasty], The [From.GetTitle] has decreed that your sordid affair cannot go unpunished. Your actions are a gross contravention of your sworn vows to protect the [From.GetTitle]'s person. Hence [From.GetSheHe] has decided to have you removed from The Kingsguard and imprisoned in the dungeon.\n\nThis is the judgment of [From.GetTitledFirstName], [From.GetTitle] of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm;[Root.GetFirstNameWithDynasty], le(a) [From.GetTitle] a décrété que votre sordide affaire ne pouvait rester impunie. Vos actes ont clairement souillé et brisé vos voeux de protéger la personne du(e la) [From.GetTitle]. En conséquence [From.GetSheHe] vous a condamné à la castration et au Mur.\n\nTel est le jugement de [From.GetTitledFirstName], [From.GetTitle] des Andals, de Rhoynar et des Premiers Hommes, Seigneur des Sept Couronnes et Protecteur du Royaume;;;[Root.GetFirstNameWithDynasty], el [From.GetTitle] ha decretado que vuestra sórdida relación no debe quedar impune. Vuestros actos os han mancillado y habéis roto los votos que jurásteis ante el [From.GetTitle]. En consecuencia seréis castrado y enviado al Muro. \n\nEsa es la sentencia de [From.GetTitledFirstName], [From.GetTitle] de los Ándalos , los Rhoynar y los Primeros Hombres, señor de los Siete Reinos y Protector del Reino;;;;;;;;;x;
EVTOPTAkingsguard.7299;At least I live for now;Au moins, je suis encore en vie;;;Al menos sigo con vida;;;;;;;;;x;
EVTDESCkingsguard.7399;The [From.GetTitle] was most shocked at your revelations, and agreed it was a grave action which needed punishment. [From.GetSheHeCap] has ordered your Sworn Brother is to be removed from The Kingsguard and imprisoned in the dungeon.;Le/la [From.GetTitle] était choqué par vos révélations et a reconnu que cette grave action nécessitait une châtiment. [From.GetSheHeCap] a ordonné que son frère juré soit démis de ces fonctions dans la Garde royale et emprisonné.has ordered your Sworn Brother is to be removed from The Kingsguard and imprisoned in the dungeon.;;;El [From.GetTitle] estaba muy sorprendido por la revelación y decidió que estos graves hechos no queden impunes. [From.GetSheHeCap] ordenó que tu hermano juramentado sea expulsado de la Guardia Real y encerrado en el calabozo.;;;;;;;;;x;
TOOLTIPkingsguard.69;will hear of this and decide what to do;va en entendre parler et va décider quoi faire;;;hablará con ella y decidirá qué hacer;;;;;;;;;x;
TOOLTIPkingsguard.70;will be beheaded;va être décapité;;;será decapitado;;;;;;;;;x;
opinion_executed_lover;Executed my Lover;A exécuté mon amant;;;Ejecutó a mi amante;;;;;;;;;x;
opinion_gelded_lover;Gelded my Lover;A castré mon amant;;;Castró a mi amante;;;;;;;;;x;
TOOLTIPKGDARKSISTER;Ser [This.GetFirstName] wielded the Valyrian steel sword Dark Sister, one of the ancestral blades of House Targaryen;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Noire Sœur, la lame ancestrale de la Maison Targaryen ;;;Don [This.GetFirstName] empuñó la hoja de acero valyrio Hermana Oscura, espada ancestral de la Casa Targaryen;;;;;;;;;x;
TOOLTIPKGWIDOWSWAIL;Ser [This.GetFirstName] wielded the Valyrian steel sword Widow's Wail, a longsword forged on orders of Tywin Lannister from the blade Ice;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Pleurs-de-Veuve, la lame ancestrale de la Maison Lannister ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio Lamento de Viuda, hoja de la Casa Lannister;;;;;;;;;x;
TOOLTIPKGOATHKEEPER;Ser [This.GetFirstName] wielded the Valyrian steel sword Oathkeeper, a longsword forged on orders of Tywin Lannister from the blade Ice;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Féale, la lame ancestrale de la Maison Lannister ;;;Don [This.GetFirstName] empuñó la espada de acero valyrio Guardajuramentos, la hoja de la Casa Lannister;;;;;;;;;x;
EVTOPTDkingsguard.3;None of these men should guard me;Aucun de ces hommes n'est digne de me protéger. ;;;Ninguno de estos hombres son dignos de protegerme.;;;;;;;;;x;
TOOLTIPKGSTRANGERSMERCY;Ser [This.GetFirstName] wielded the Valyrian steel sword Stranger's Mercy;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Mort-Merci;;;Don [This.GetFirstName] blandió la espada de acero valyrio Piedad del Extraño;;;;;;;;;x;
EVTDESCkingsguard.37;Night had fallen when [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] struck, leaping from the shadows. For a moment you think all is lost, until [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] valiantly steps before you to defend you from this oathbreaker...;La nuit vient de tomber lorsque [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se décide à frapper, surgissant des ombres. Pendant un instant vous pensez que tout est perdu. Jusqu'à ce que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] surgisse derrière vous, prêt à vous défendre contre ce parjure... ;;;La noche había caido cuando [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] te alcanza, saliendo desde las sombras. Por un momento piensas que está todo perdido, hasta que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se coloca delante de ti valientemente para defenderte…;;;;;;;;;x;
EVTDESCkingsguard.38;Night had fallen when [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] struck, leaping from the shadows. You cry for the guards, but no one is there. You will have to defend yourself from this oathbreaker...;La nuit vient de tomber lorsque [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se décide à frapper, surgissant des ombres. Vous criez à la garde mais personne ne vient. Vous allez devoir vous défendre seul face à ce parjure…;;;La noche había caído cuando [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] te alcanza, saliendo desde las sombras. Llamas a los guardias, pero no acude nadie. Tendrás que defenderte tu solo ante el enemigo...;;;;;;;;;x;
EVTDESCkingsguard.44;You struggled for your life against [FromFrom.GetTitledFirstName], but you managed to beat [FromFrom.GetHerHim] into submission.;Vous luttez pour votre vie face à [FromFrom.GetTitledFirstName], mais vous parvenez à le(a) soumettre. ;;;Luchaste por tu vida contra [FromFrom.GetTitledFirstName], pero te las arreglas para derrotarle.;;;;;;;;;x;
TOOLTIPkingsguard.41;Will evade capture;Va éviter la capture;;;Evitará la captura;;;;;;;;;x;
EVTDESCkingsguard.77;Your [From.GetRootRelation] [From.GetFirstName], as a member of the royal family, should be protected by a member of the Kingsguard. Who shall we send to [From.Capital.GetName] to fulfil this duty?;Votre [From.GetRootRelation] [From.GetFirstName], en tant que membre de la famille royale, devrait être protégé(e) par un membre de la Garde Royale. Qui devrions-nous envoyer à [From.Capital.GetName] pour remplir son devoir ?;;;Tu [From.GetRootRelation] [From.GetFirstName], como miembro de la familia Real, debe ser protegido por un miembro de la Guardia Real. ¿A quién debemos enviar a [From.Capital.GetName] a cumplir su deber?;;;;;;;;;x;
EVTOPTAkingsguard.77;Send [loan_candidate_1.GetTitledFirstName] [loan_candidate_1.GetOnlyDynastyName];Envoyez-le lui.;;;Enviad a [loan_candidate_1.GetTitledFirstName] [loan_candidate_1.GetOnlyDynastyName];;;;;;;;;x;
EVTOPTBkingsguard.77;[From.GetFirstName] shall be protected by [loan_candidate_2.GetTitledFirstName] [loan_candidate_2.GetOnlyDynastyName];[From.GetFirstName] sera protégé(e) par lui. ;;;[From.GetFirstName] será protegido por [loan_candidate_2.GetTitledFirstName] [loan_candidate_2.GetOnlyDynastyName];;;;;;;;;x;
EVTOPTCkingsguard.77;[loan_candidate_3.GetTitledFirstName] [loan_candidate_3.GetOnlyDynastyName] will serve;Il servira.;;;[loan_candidate_3.GetTitledFirstName] [loan_candidate_3.GetOnlyDynastyName] servirá;;;;;;;;;x;
EVTOPTDkingsguard.77;The Kingsguard protect the [Root.GetTitle];La Garde Royale protège le(a) [Root.GetTitle];;;La Guardia Real protege al [Root.GetTitle];;;;;;;;;x;
opinion_withheld_kingsguard;Withheld Kingsguard Protection;A refusé la protection de la Garde Royale;;;Rechazó la proteccion de la Guardia Real;;;;;;;;;x;
EVTOPTEkingsguard.77;I have a Kingsguard?;Ai-je une Garde Royale ?;;;¿Tengo un Guardia Real a mi servicio?;;;;;;;;;x;
EVTDESCkingsguard.78;[Root.GetTitle] [Root.GetFirstName], as a member of the Royal [From.GetOnlyDynastyName] family you are entitled to the protection of the Kingsguard. As such, a member of the guard has been dispatched to [Root.Capital.GetName] to fulfil this duty.\n\n This is the decree of [From.GetFirstName] of House [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetTitle] [Root.GetFirstName], en tant que membre de la famille royale [From.GetOnlyDynastyName], votre protection se doit d'être assurée par la Garde Royale. Par conséquent, un membre de la garde a été envoyé à [Root.Capital.GetName] pour remplir son devoir.\n\n Telle est la volonté de [From.GetFirstName] de la maison [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;[Root.GetTitle] [Root.GetFirstName], como miembro de la familia Real, tienes derecho a la proteccion de la Guardia Real. Por lo tanto, un miembro de la Guardia Real ha sido enviado a [Root.Capital.GetName] para cumplir con su deber.\n\n Esta es la voluntad de [From.GetFirstName] de la Casa [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName];;;;;;;;;x;
EVTDESCkingsguard.79; As a member of the Royal [From.GetOnlyDynastyName] family you are traditionally entitled to protection from the Kingsguard. [From.GetTitle] [From.GetFirstName], however, has seen fit to keep all the white cloaks around [From.GetHerHis] own person, leaving you without the protection owed.;En tant que membre de la famille royale [From.GetOnlyDynastyName], votre protection se doit normalement d'être assurée par la Garde Royale. Cependant, le(a) [From.GetTitle] [From.GetFirstName], a décidé de que la garde devait se dévouer à la protection de sa propre personne, vous laissant sans manteau blanc pour vous protéger.;;; Como miembro de la familia Real, tienes derecho a la protección de la Guardia Real. Sin embargo, [From.GetTitle] [From.GetFirstName] ha decidido mantener a todas las capas blancas cerca, dejándote sin la proteccion adecuada..;;;;;;;;;x;
EVTOPTAkingsguard.79;I am outraged!;Je suis outré !;;;¡Estoy indignado!;;;;;;;;;x;
TOOLTIPKGVIGILANCE;[This.GetTitledFirstNameNoRegnal] wielded the valyrian steel sword Vigilance, the ancestral blade of House Hightower;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Vigilance, la lame ancestrale de la maison Hightower ;;;Don [This.GetFirstName] blande la espada de acero valyrio Vigilancia, la espada ancestral de la Casa Hightower ;;;;;;;;;x;
TOOLTIPKGORPHANMAKER;[This.GetTitledFirstNameNoRegnal] wielded the valyrian steel sword Orphan Maker, the ancestral blade of House Roxton;Ser [This.GetFirstName] maniait l'épée d'acier valyrien Faiseur-d'Orphelin, la lame ancestrale de la maison Roxton ;;;Don[This.GetFirstName] blande la espada de acero valyrio Hacedora de Huérfanos, la espada ancestral de la Casa Roxton;;;;;;;;;x;
EVTOPTkingsguard.19MORE;Show more...;Montrez-moi plus...;;;Mostrar más…;;;;;;;;;x;
d_kingsguard_dummy;The Kingsguard;La Garde Royale;;;La Guardia Real;;;;;;;;;x;
EVTDESCkingsguard.19;A new Lord Commander of the Kingsguard is needed, and he is traditionally the most senior and able of the seven white cloaks. Who shall fulfil this venerable duty for their [Root.GetTitle]?;Il faut un nouveau lord commandant de la Garde Royale, et c'est traditionnellement le plus âgé et le plus talentueux des sept manteaux blancs qui est choisi. Qui devra remplir cet honorable devoir pour son(a) [Root.GetTitle]?;;;Se necesita un nuevo Comandante de la Guardia Real, y es tradicionalmente el más veterano y el más talentoso de las siete capas blancas. ¿Quién deberá cumplir este venerable deber para su [Root.GetTitle]?;;;;;;;;;x;
EVTOPTAkingsguard.19;[kg_lc_candidate_1.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_1.GetTitledFirstName] [kg_lc_candidate_1.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_1.GetTitledFirstName] [kg_lc_candidate_1.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTAkingsguard.19B;[kg_lc_candidate_1.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_1.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_1.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
EVTOPTBkingsguard.19;[kg_lc_candidate_2.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_2.GetTitledFirstName] [kg_lc_candidate_2.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_2.GetTitledFirstName] [kg_lc_candidate_2.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTBkingsguard.19B;[kg_lc_candidate_2.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_2.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_2.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
EVTOPTCkingsguard.19;[kg_lc_candidate_3.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_3.GetTitledFirstName] [kg_lc_candidate_3.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_3.GetTitledFirstName] [kg_lc_candidate_3.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTCkingsguard.19B;[kg_lc_candidate_3.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_3.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_3.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
EVTOPTDkingsguard.19;[kg_lc_candidate_4.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_4.GetTitledFirstName] [kg_lc_candidate_4.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_4.GetTitledFirstName] [kg_lc_candidate_4.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTDkingsguard.19B;[kg_lc_candidate_4.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_4.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_4.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
EVTOPTEkingsguard.19;[kg_lc_candidate_5.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_5.GetTitledFirstName] [kg_lc_candidate_5.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_5.GetTitledFirstName] [kg_lc_candidate_5.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTEkingsguard.19B;[kg_lc_candidate_5.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_5.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_5.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
EVTOPTFkingsguard.19;[kg_lc_candidate_6.GetTitledFirstNameWithDynastyNoRegnal], step forward!;[kg_lc_candidate_6.GetTitledFirstName] [kg_lc_candidate_6.GetOnlyDynastyName], un pas en avant !;;;[kg_lc_candidate_6.GetTitledFirstName] [kg_lc_candidate_6.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTFkingsguard.19B;[kg_lc_candidate_6.GetTitledFirstNameWithNick], step forward!;[kg_lc_candidate_6.GetTitledFirstNameWithNick], un pas en avant !;;;[kg_lc_candidate_6.GetTitledFirstNameWithNick], un paso adelante!;;;;;;;;;x;
